时间(s),温度(摄氏度)
116,147.9138294
116.5,148.1386754
117,148.3615062
117.5,148.5823398
118,148.801194
118.5,149.0180866
119,149.2330352
119.5,149.4460573
120,149.65717
120.5,149.8663906
121,150.0737359
121.5,150.2792228
122,150.482868
122.5,150.6846879
123,150.8846989
123.5,151.0829172
124,151.2793589
124.5,151.4740399
125,151.6669759
125.5,151.8581827
126,152.0476757
126.5,152.2354703
127,152.4215817
127.5,152.606025
128,152.7888151
128.5,152.9699669
129,153.149495
129.5,153.3274141
130,153.5037385
130.5,153.6784824
131,153.8516602
131.5,154.0232858
132,154.1933731
132.5,154.3619359
133,154.5289879
133.5,154.6945427
134,154.8586135
134.5,155.0212138
135,155.1823567
135.5,155.3420553
136,155.5003225
136.5,155.6571712
137,155.8126141
137.5,155.9666638
138,156.1193327
138.5,156.2706332
139,156.4205777
139.5,156.5691782
140,156.7164468
140.5,156.8623955
141,157.007036
141.5,157.1503801
142,157.2924394
142.5,157.4332254
143,157.5727496
143.5,157.7110232
144,157.8480575
144.5,157.9838635
145,158.1184524
145.5,158.2518349
146,158.3840219
146.5,158.5150242
147,158.6448522
147.5,158.7735172
148,158.9010309
148.5,159.0274056
149,159.1526754
149.5,159.2769438
150,159.4004981
150.5,159.5241178
151,159.6494689
151.5,159.7795148
152,159.918581
152.5,160.0718486
153,160.2441123
153.5,160.4389669
154,160.6584127
154.5,160.9025316
155,161.1696422
155.5,161.4562951
156,161.7577603
156.5,162.0686329
157,162.3841713
157.5,162.7007658
158,163.0162398
158.5,163.3295359
159,163.6402216
159.5,163.9481749
160,164.2533794
160.5,164.5558505
161,164.8556103
161.5,165.1526834
162,165.4470913
162.5,165.7388594
163,166.0280142
163.5,166.3145774
164,166.5985721
164.5,166.8800214
165,167.1589481
165.5,167.4353747
166,167.7093237
166.5,167.9808171
167,168.2498772
167.5,168.5165259
168,168.7807846
168.5,169.0426749
169,169.3022179
169.5,169.5594348
170,169.8143465
170.5,170.0669736
171,170.3173366
171.5,170.5654555
172,170.8113504
172.5,171.0550411
173,171.2965472
173.5,171.5358887
174,171.773085
174.5,172.0081553
175,172.2411189
175.5,172.4719962
176,172.7008173
176.5,172.9276524
177,173.152696
177.5,173.3764914
178,173.6004286
178.5,173.8272186
179,174.0614044
179.5,174.3090627
180,174.5766807
180.5,174.8701369
181,175.1932672
181.5,175.5476486
182,175.9325576
182.5,176.3449741
183,176.7796573
183.5,177.230136
184,177.6896838
184.5,178.1525956
185,178.6150715
185.5,179.0749128
186,179.5311588
186.5,179.9834679
187,180.4317566
187.5,180.8760335
188,181.3163291
188.5,181.7526783
189,182.1851164
189.5,182.6136786
190,183.0383997
190.5,183.459314
191,183.8764556
191.5,184.2898584
192,184.6995558
192.5,185.1055811
193,185.5079673
193.5,185.906747
194,186.3019525
194.5,186.6936159
195,187.0817691
195.5,187.4664434
196,187.84767
196.5,188.2254796
197,188.5999025
197.5,188.9709694
198,189.3387105
198.5,189.7031556
199,190.0643342
199.5,190.4222755
200,190.7770086
200.5,191.1285624
201,191.4769656
201.5,191.8222464
202,192.164433
202.5,192.5035533
203,192.8396363
203.5,193.1727281
204,193.5029213
204.5,193.830497
205,194.1561623
205.5,194.4814668
206,194.8093557
206.5,195.1441156
207,195.4912049
207.5,195.8559791
208,196.2427585
208.5,196.6541511
209,197.0907681
209.5,197.5512544
210,198.0323385
210.5,198.5291603
211,199.0358833
211.5,199.5471374
212,200.0586607
212.5,200.567813
213,201.0732619
213.5,201.5744405
214,202.0711987
214.5,202.5635222
215,203.0514364
215.5,203.534977
216,204.0141799
216.5,204.4890937
217,204.9597434
217.5,205.4261768
218,205.8884302
218.5,206.3465405
219,206.8005447
219.5,207.2504797
220,207.6963819
220.5,208.1382873
221,208.5762318
221.5,209.0102511
222,209.4403805
222.5,209.8666547
223,210.2891084
223.5,210.7077757
224,211.1226908
224.5,211.5338874
225,211.9413987
225.5,212.3452577
226,212.7454968
226.5,213.1421484
227,213.5352442
227.5,213.9248165
228,214.310897
228.5,214.693517
229,215.0727077
229.5,215.4484997
230,215.8209236
230.5,216.1900095
231,216.5557874
231.5,216.9182869
232,217.2775373
232.5,217.6335678
233,217.986407
233.5,218.3360838
234,218.6826266
234.5,219.0260633
235,219.3664218
235.5,219.7037296
236,220.0380141
236.5,220.3693025
237,220.6976216
237.5,221.022998
238,221.345458
238.5,221.6650279
239,221.9817333
239.5,222.2956003
240,222.6066541
240.5,222.9149199
241,223.2204228
241.5,223.5231874
242,223.8232383
242.5,224.1206
243,224.4152965
243.5,224.7073517
244,224.9967893
244.5,225.2836326
245,225.567905
245.5,225.8496294
246,226.1288287
246.5,226.4055254
247,226.679742
247.5,226.9515007
248,227.2208236
248.5,227.4877325
249,227.752249
249.5,228.0143946
250,228.2741906
250.5,228.5316581
251,228.786818
251.5,229.0396911
252,229.2902979
252.5,229.5386584
253,229.784793
253.5,230.0287214
254,230.2704635
254.5,230.5100388
255,230.7474669
255.5,230.9827669
256,231.2159579
256.5,231.4470589
257,231.6760883
257.5,231.9030631
258,232.1279927
258.5,232.3508649
259,232.5715741
259.5,232.7898109
260,233.0047901
260.5,233.2150058
261,233.4180707
261.5,233.6108262
262,233.79001
262.5,233.9527966
263,234.0972102
263.5,234.2222134
264,234.327384
264.5,234.4126773
265,234.4781935
265.5,234.5240888
266,234.5505302
266.5,234.5576998
267,234.5457689
267.5,234.5149082
268,234.4652872
268.5,234.3970738
269,234.3104349
269.5,234.2055361
270,234.0825409
270.5,233.9416116
271,233.7829092
271.5,233.6065929
272,233.41282
272.5,233.2017465
273,232.9735275
273.5,232.7283174
274,232.4662684
274.5,232.1875313
275,231.8922555
275.5,231.5805895
276,231.2526803
276.5,230.9086734
277,230.5487129
277.5,230.1729417
278,229.7815019
278.5,229.3745339
279,228.9521767
279.5,228.5145682
280,228.0618451
280.5,227.594143
281,227.1115963
281.5,226.6143379
282,226.1024995
282.5,225.5762119
283,225.0356045
283.5,224.4808055
284,223.9119421
284.5,223.3291404
285,222.7325254
285.5,222.1222209
286,221.4983498
286.5,220.8610337
287,220.2103934
287.5,219.5465482
288,218.8696161
288.5,218.1797145
289,217.4769597
289.5,216.7614668
290,216.0333501
290.5,215.2927227
291,214.5396967
291.5,213.7743832
292,212.9968924
292.5,212.2073335
293,211.4058144
293.5,210.5924426
294,209.7673242
294.5,208.9305645
295,208.0822678
295.5,207.2225376
296,206.3514763
296.5,205.4691854
297,204.5757657
297.5,203.6713169
298,202.7559378
298.5,201.8297264
299,200.8927799
299.5,199.9451943
300,198.987065
300.5,198.0184867
301,197.0395528
301.5,196.0503563
302,195.0509892
302.5,194.0415424
303,193.0221065
303.5,191.9927709
304,190.9536243
304.5,189.9047547
305,188.8462493
305.5,187.7781943
306,186.7006756
306.5,185.6137778
307,184.5175851
307.5,183.4121808
308,182.2976474
308.5,181.1740668
309,180.0415201
309.5,178.9000875
310,177.7498487
310.5,176.5908827
311,175.4232676
311.5,174.2470809
312,173.0624003
312.5,171.8693071
313,170.6679011
313.5,169.4583389
314,168.2409352
314.5,167.0164297
315,165.7862244
315.5,164.5525831
316,163.3186665
316.5,162.0878689
317,160.8632863
317.5,159.6472027
318,158.440927
318.5,157.245061
319,156.059789
319.5,154.885111
320,153.7209559
320.5,152.5672389
321,151.4238605
321.5,150.2907301
322,149.167756
322.5,148.0548474
323,146.9519139
323.5,145.8588656
324,144.7756146
324.5,143.7020723
325,142.6381525
325.5,141.5837692
326,140.5388346
326.5,139.5032667
327,138.47698
327.5,137.4598916
328,136.4519192
328.5,135.4529814
329,134.4629969
329.5,133.4818855
330,132.5095677
330.5,131.5459651
331,130.5909992
331.5,129.6445926
332,128.7066686
332.5,127.7771512
333,126.855965
333.5,125.9430353
334,125.0382883
334.5,124.1416503
335,123.2530489
335.5,122.372412
336,121.4996682
336.5,120.6347467
337,119.7775773
337.5,118.9280907
338,118.086218
338.5,117.251891
339,116.4250421
