品类,MAPE
category1,25.133999293398197
category14,21.302975449565125
category290,19.639539511097805
category204,19.4802493518354
category155,10.037913020885739
category224,19.987881615649616
category251,42.11336519879144
category318,99.0643650543084
category306,14.106013664940868
category4,55.92564816434531
category301,20.26004061269995
category311,102.20744103936626
category81,37.95975021647509
category22,33.04724110306295
category211,40.08134173135432
category74,35.545263724020806
category162,37.37766317817896
category75,17.62680346151163
category220,17.511943956060374
category11,31.602781261173696
category229,12.906107886836669
category39,28.658977397991702
category129,23.347737598541624
category270,19.094300094144497
category92,27.211928060426143
category150,31.187412533504034
category278,22.150631595874074
category175,28.764874403610836
category120,32.725036246430356
category105,71.35022968230325
category302,19.715918185730185
category289,10.477882927289588
category188,14.060290072471945
category147,17.206721730261147
category133,20.539856063710875
category230,22.292075622762557
category111,34.71645818809546
category99,16.282004405905827
category202,96.98052189873387
category117,16.435576723077535
category98,83.37097736781219
category59,84.5553062613313
category298,16.385832876939325
category304,60.583002009114026
category90,39.95850745877376
category57,17.381061196704177
category320,25.742001925150465
category126,17.65690626229089
category163,16.585499710364644
category186,139.57428997449998
category342,72.59498994255193
category309,29.198679440025387
category113,23.883158962760483
category235,19.905675435891787
category68,26.081686348939144
category67,51.77007558564043
category269,16.181619992852404
category168,46.22110090425873
category217,12.778033949686298
category327,57.17842121681562
category335,88.8734159584922
category234,43.30464170925694
category131,41.61352712246696
category106,73.95676796826218
category69,36.06308481564638
category312,54.590432159669
category206,40.28081215558527
category179,33.98823672066943
category149,43.63041294367587
category199,36.74134682102641
category291,39.684764559125135
category349,67.2577624685931
category91,37.652216404266696
category66,50.61120454510753
category265,30.99906199273782
category36,34.42886589890094
category142,34.857260597995875
category139,57.50699717420191
category207,48.93566277504846
category52,24.656022567126623
category212,26.291827080601145
category71,14.304645256436995
category317,48.146093751578434
category96,39.42834127753792
category331,49.12027188807948
category9,51.699136555290394
category216,52.46941787823061
category6,31.398118224716736
category41,113.64566681820017
category260,52.9308211215736
category193,27.730756157839327
category210,84.34838584835673
category115,31.58780452943906
category181,39.93016325806869
category315,76.91484745110301
category109,41.06588760482171
category145,42.054681797540546
category330,75.3884123410268
category294,79.72495648306946
category83,58.91652093812235
category319,51.844257746791456
category37,47.693908208769436
category23,72.79877077910714
category338,35.539321946844794
category132,43.973649478945084
category337,65.65580945377053
category187,52.102716623908954
category310,87.30714285714286
category334,41.2441090090399
category119,38.660843182419164
category3,17.822788083687797
category167,67.66210651998203
category24,9.03230986200372
category314,39.98273303824163
category5,450.7847211289566
category221,42.69449987782546
category325,10.063030639025403
category192,19.420770221922066
category116,67.29425362493623
category228,11.579851339489881
category10,118.4156928356856
category160,25.819330423113918
category350,101.68542161753054
category344,38.17880494574984
category272,48.5
category288,39.0
category340,41.671730187502
category244,72.65335814471979
category170,42.88082647185975
category326,58.66666666666668
category231,43.33493946575304
category7,100.0
category219,100.0
category50,39.99795297456774
category343,52.18534575992998
category328,63.508399254070426
category54,47.225028344671216
category55,64.04115971294671
category346,60.74999999999999
category159,30.310101919555706
category213,40.91786075766339
