品类,日期,预测销量
category10,2023/7/4,35.28615207141571
category10,2023/7/5,43.99810630658534
category10,2023/7/6,38.23082387465464
category10,2023/7/7,31.961569889733468
category10,2023/7/8,37.32729745791691
category10,2023/7/9,31.686723993799337
category10,2023/7/10,31.53331763662595
category10,2023/7/11,30.534447161154855
category10,2023/7/12,42.95184265810015
category10,2023/7/13,27.508628546762715
category10,2023/7/14,28.934252548056147
category10,2023/7/15,31.80087067681271
category10,2023/7/16,33.79876088663878
category10,2023/7/17,31.720625785839772
category10,2023/7/18,30.617311408561932
category10,2023/7/19,34.91186794000778
category10,2023/7/20,28.995189399652514
category10,2023/7/21,27.84343163857347
category10,2023/7/22,35.165058874579856
category10,2023/7/23,28.942028842539095
category10,2023/7/24,30.56157776486433
category10,2023/7/25,30.490136305886825
category10,2023/7/26,41.47155331184419
category10,2023/7/27,29.000131491377218
category10,2023/7/28,29.43741626236116
category10,2023/7/29,34.7102772702193
category10,2023/7/30,31.216719682229158
category10,2023/7/31,31.81128740200139
category10,2023/8/1,29.923277592136813
category10,2023/8/2,38.852388086527924
category10,2023/8/3,28.524903685366798
category10,2023/8/4,27.451370679924274
category10,2023/8/5,36.435234313176345
category10,2023/8/6,29.719984024611925
category10,2023/8/7,31.72970756517155
category10,2023/8/8,29.630926848677372
category10,2023/8/9,39.22155240047485
category10,2023/8/10,29.071174969638086
category10,2023/8/11,27.843968970522564
category10,2023/8/12,34.99876678070881
category10,2023/8/13,29.468066446575932
category10,2023/8/14,31.831707565171552
category10,2023/8/15,28.591206163565385
category10,2023/8/16,39.14821906714151
category10,2023/8/17,28.89092100138412
category10,2023/8/18,27.392932585854602
category10,2023/8/19,36.39323431317634
category10,2023/8/20,29.737212285481487
category10,2023/8/21,31.72970756517155
category10,2023/8/22,29.508835939586465
category10,2023/8/23,39.22155240047485
category10,2023/8/24,29.071174969638086
category10,2023/8/25,27.843968970522564
category10,2023/8/26,34.99876678070881
category10,2023/8/27,29.468066446575932
category10,2023/8/28,31.831707565171552
category10,2023/8/29,28.591206163565385
category10,2023/8/30,39.14821906714151
category10,2023/8/31,28.89092100138412
category10,2023/9/1,27.071841676763693
category10,2023/9/2,36.39323431317634
category10,2023/9/3,29.737212285481487
category10,2023/9/4,31.72970756517155
category10,2023/9/5,29.508835939586465
category10,2023/9/6,39.22155240047485
category10,2023/9/7,29.071174969638086
category10,2023/9/8,27.843968970522564
category10,2023/9/9,35.22257197551401
category10,2023/9/10,29.269399779909264
category10,2023/9/11,31.831707565171552
category10,2023/9/12,28.8083576787169
category10,2023/9/13,39.14821906714151
category10,2023/9/14,28.913841636304753
category10,2023/9/15,27.25130321522523
category10,2023/9/16,34.959433447375474
category10,2023/9/17,29.935878952148155
category10,2023/9/18,31.72970756517155
category10,2023/9/19,29.291684424434948
category10,2023/9/20,39.22155240047485
category10,2023/9/21,29.048254334717452
category10,2023/9/22,27.66450743206103
category10,2023/9/23,35.69256764650968
category10,2023/9/24,29.269399779909264
category10,2023/9/25,31.831707565171552
category10,2023/9/26,28.8083576787169
category10,2023/9/27,39.14821906714151
category10,2023/9/28,28.913841636304753
category10,2023/9/29,27.16701750093952
category10,2023/9/30,34.959433447375474
category100,2023/7/1,126.71141393215515
category100,2023/7/2,131.53530009746046
category100,2023/7/3,120.8478677754126
category100,2023/7/4,123.85918123111203
category100,2023/7/5,125.96033860793489
category100,2023/7/6,132.85695480336662
category100,2023/7/7,119.79275240548846
category100,2023/7/8,114.87784035471108
category100,2023/7/9,119.1927862216326
category100,2023/7/10,115.13458809116939
category100,2023/7/11,117.4191394510677
category100,2023/7/12,115.10883731590039
category100,2023/7/13,130.72395164625982
category100,2023/7/14,111.44590711832771
category100,2023/7/15,115.27260765063441
category100,2023/7/16,110.33236326103707
category100,2023/7/17,112.32148572084004
category100,2023/7/18,113.86204189038217
category100,2023/7/19,111.94583152705367
category100,2023/7/20,131.3743301207265
category100,2023/7/21,112.16470945514337
category100,2023/7/22,112.40869708270769
category100,2023/7/23,110.48153505329711
category100,2023/7/24,111.70020354791016
category100,2023/7/25,114.11180776339805
category100,2023/7/26,113.43600716514109
category100,2023/7/27,131.3034774537856
category100,2023/7/28,111.16515711274891
category100,2023/7/29,112.4251970827077
category100,2023/7/30,110.34391600567805
category100,2023/7/31,111.77911145183421
category100,2023/8/1,114.08847443006471
category100,2023/8/2,113.53250716514108
category100,2023/8/3,131.3034774537856
category100,2023/8/4,112.21884132327524
category100,2023/8/5,112.4251970827077
category100,2023/8/6,110.4015350532971
category100,2023/8/7,111.73911145183422
category100,2023/8/8,115.55000022371549
category100,2023/8/9,113.43600716514109
category100,2023/8/10,131.3034774537856
category100,2023/8/11,113.17849044608225
category100,2023/8/12,110.87080090372326
category100,2023/8/13,111.7175451581348
category100,2023/8/14,110.52871490011006
category100,2023/8/15,116.26040028581816
category100,2023/8/16,111.91112141827145
category100,2023/8/17,132.32480098319738
category100,2023/8/18,114.97052384908277
category100,2023/8/19,111.13799137991377
category100,2023/8/20,112.08336289212497
category100,2023/8/21,111.46685278373181
category100,2023/8/22,115.78669377111014
category100,2023/8/23,112.38541506906512
category100,2023/8/24,131.96880098319738
category100,2023/8/25,110.02285857795037
category100,2023/8/26,111.90605417389237
category100,2023/8/27,109.7209506377127
category100,2023/8/28,112.73303688124352
category100,2023/8/29,113.71943041852067
category100,2023/8/30,113.65945954609347
category100,2023/8/31,131.96725018105835
category100,2023/9/1,112.53884132327525
category100,2023/9/2,112.32869708270769
category100,2023/9/3,110.4015350532971
category100,2023/9/4,111.63311145183421
category100,2023/9/5,114.11180776339805
category100,2023/9/6,113.43600716514109
category100,2023/9/7,131.3034774537856
category100,2023/9/8,111.16515711274891
category100,2023/9/9,114.2992336988693
category100,2023/9/10,109.50817833485216
category100,2023/9/11,111.91746310018587
category100,2023/9/12,113.53512486296513
category100,2023/9/13,113.53250716514108
category100,2023/9/14,129.26100659131475
category100,2023/9/15,111.33217465660857
category100,2023/9/16,113.38586374937435
category100,2023/9/17,109.26982335649718
category100,2023/9/18,111.23939292474726
category100,2023/9/19,113.84137486296513
category100,2023/9/20,113.00246622568838
category100,2023/9/21,129.22100659131473
category100,2023/9/22,111.33217465660857
category100,2023/9/23,113.30586374937435
category100,2023/9/24,109.26982335649718
category100,2023/9/25,111.23939292474726
category100,2023/9/26,113.84137486296513
category100,2023/9/27,113.00246622568838
category100,2023/9/28,129.22100659131473
category100,2023/9/29,111.00948259533082
category100,2023/9/30,113.30586374937435
category101,2023/7/1,48.22525425622776
category101,2023/7/2,46.72287414667308
category101,2023/7/3,43.5893757150319
category101,2023/7/4,42.669461882624915
category101,2023/7/5,42.39120154106281
category101,2023/7/6,43.31073015329792
category101,2023/7/7,46.3797988322077
category101,2023/7/8,45.60995587590838
category101,2023/7/9,42.46523486013441
category101,2023/7/10,41.56554035260823
category101,2023/7/11,41.752653576214335
category101,2023/7/12,41.479369738962724
category101,2023/7/13,42.09130695700346
category101,2023/7/14,44.06655638123724
category101,2023/7/15,44.272400291840434
category101,2023/7/16,41.24557558710105
category101,2023/7/17,41.09125850494573
category101,2023/7/18,41.31884152715229
category101,2023/7/19,40.65978721311447
category101,2023/7/20,40.30061662350352
category101,2023/7/21,41.15904529357078
category101,2023/7/22,43.549822741595705
category101,2023/7/23,40.67924682401687
category101,2023/7/24,39.67936534369891
category101,2023/7/25,39.48843294984005
category101,2023/7/26,38.577134515995894
category101,2023/7/27,38.60300105235959
category101,2023/7/28,39.80701609357504
category101,2023/7/29,43.09487664215738
category101,2023/7/30,41.14426806590034
category101,2023/7/31,42.50924261687358
category101,2023/8/1,43.171352070056564
category101,2023/8/2,41.67855752653185
category101,2023/8/3,42.6847683403177
category101,2023/8/4,43.96820739688825
category101,2023/8/5,44.35312410136424
category101,2023/8/6,41.23424225376772
category101,2023/8/7,41.35442732271207
category101,2023/8/8,43.59146879064764
category101,2023/8/9,40.6951353551685
category101,2023/8/10,40.477430348993714
category101,2023/8/11,41.29904529357078
category101,2023/8/12,43.73197512254807
category101,2023/8/13,40.66791349068354
category101,2023/8/14,39.83980688873799
category101,2023/8/15,39.41799283439993
category101,2023/8/16,38.577134515995894
category101,2023/8/17,38.60300105235959
category101,2023/8/18,44.77073898401254
category101,2023/8/19,44.190291855247786
category101,2023/8/20,41.90480362669132
category101,2023/8/21,43.0407545216355
category101,2023/8/22,44.84441138059349
category101,2023/8/23,41.84535579688893
category101,2023/8/24,42.81429043097215
category101,2023/8/25,43.436708762189625
category101,2023/8/26,44.40674314898329
category101,2023/8/27,41.55031303231837
category101,2023/8/28,41.17018922747398
category101,2023/8/29,40.94913157044233
category101,2023/8/30,38.35125496417516
category101,2023/8/31,38.77188585709733
category101,2023/9/1,39.76074264480158
category101,2023/9/2,42.75087664215738
category101,2023/9/3,40.17557325417612
category101,2023/9/4,39.783540653177546
category101,2023/9/5,41.243786246364316
category101,2023/9/6,40.662334729720826
category101,2023/9/7,40.529611158380405
category101,2023/9/8,41.4258947219202
category101,2023/9/9,47.00003381897834
category101,2023/9/10,44.51667580537242
category101,2023/9/11,43.244158012833225
category101,2023/9/12,42.164782463557934
category101,2023/9/13,41.36727242916529
category101,2023/9/14,43.6632868400046
category101,2023/9/15,43.47898041994364
category101,2023/9/16,44.54149973161634
category101,2023/9/17,41.15400522737822
category101,2023/9/18,41.179053502540725
category101,2023/9/19,41.411508193818946
category101,2023/9/20,40.6597574193788
category101,2023/9/21,40.07595428584118
category101,2023/9/22,41.11904529357078
category101,2023/9/23,43.549822741595705
category101,2023/9/24,40.67924682401687
category101,2023/9/25,39.67936534369891
category101,2023/9/26,39.48843294984005
category101,2023/9/27,38.577134515995894
category101,2023/9/28,38.60300105235959
category101,2023/9/29,42.23834012497969
category101,2023/9/30,44.04050928487699
category102,2023/7/1,6554.810095945437
category102,2023/7/2,6688.069500411475
category102,2023/7/3,7241.39023869143
category102,2023/7/4,6989.170229375571
category102,2023/7/5,6555.883743953803
category102,2023/7/6,6518.376838606757
category102,2023/7/7,6461.293387990577
category102,2023/7/8,6459.54781914409
category102,2023/7/9,6509.090730291424
category102,2023/7/10,7322.235479057225
category102,2023/7/11,7030.516881905051
category102,2023/7/12,6786.508537892551
category102,2023/7/13,6598.040924262761
category102,2023/7/14,6380.390588765378
category102,2023/7/15,6444.513947349219
category102,2023/7/16,6500.618730291422
category102,2023/7/17,7345.004861410166
category102,2023/7/18,7035.575851540679
category102,2023/7/19,6805.226580960578
category102,2023/7/20,6608.313748272085
category102,2023/7/21,6375.780840134752
category102,2023/7/22,6456.9871238198075
category102,2023/7/23,6499.80139695809
category102,2023/7/24,7345.1848614101655
category102,2023/7/25,7036.261375350203
category102,2023/7/26,6810.064914293911
category102,2023/7/27,6608.313748272085
category102,2023/7/28,6381.3221862885985
category102,2023/7/29,6453.433947349218
category102,2023/7/30,6492.723063624756
category102,2023/7/31,7345.1848614101655
category102,2023/8/1,7036.261375350203
category102,2023/8/2,6815.426059221449
category102,2023/8/3,6610.367414938752
category102,2023/8/4,6364.994340134752
category102,2023/8/5,6456.9871238198075
category102,2023/8/6,6492.723063624756
category102,2023/8/7,7345.1848614101655
category102,2023/8/8,7040.887301276129
category102,2023/8/9,6832.74308952448
category102,2023/8/10,6610.367414938752
category102,2023/8/11,6338.425686288599
category102,2023/8/12,6453.433947349218
category102,2023/8/13,6492.723063624756
category102,2023/8/14,7345.1848614101655
category102,2023/8/15,7036.261375350203
category102,2023/8/16,6850.314540504873
category102,2023/8/17,6831.700542610312
category102,2023/8/18,6478.020807176483
category102,2023/8/19,6461.552808030334
category102,2023/8/20,6486.743063624756
category102,2023/8/21,7452.903687532134
category102,2023/8/22,7050.321777725604
category102,2023/8/23,6907.7304408845885
category102,2023/8/24,6635.21745027685
category102,2023/8/25,6251.043332328832
category102,2023/8/26,6445.5589285122
category102,2023/8/27,6499.655063624757
category102,2023/8/28,7340.484861410166
category102,2023/8/29,7021.350916475743
category102,2023/8/30,6865.749379330948
category102,2023/8/31,6821.401922525617
category102,2023/9/1,6468.676188128863
category102,2023/9/2,6444.231123819807
category102,2023/9/3,6492.723063624756
category102,2023/9/4,7453.743687532135
category102,2023/9/5,7046.520565826392
category102,2023/9/6,6901.88894088459
category102,2023/9/7,6705.000513887901
category102,2023/9/8,6362.504879281878
category102,2023/9/9,6476.914409534094
category102,2023/9/10,6516.265563624756
category102,2023/9/11,7401.134468247773
category102,2023/9/12,7054.820089635916
category102,2023/9/13,6906.901274217922
category102,2023/9/14,6598.0601083796155
category102,2023/9/15,6265.160087746788
category102,2023/9/16,6451.999352754625
category102,2023/9/17,6509.770730291423
category102,2023/9/18,7370.980416965721
category102,2023/9/19,7023.068757745586
category102,2023/9/20,6888.079955088524
category102,2023/9/21,6622.520481349146
category102,2023/9/22,6357.410006801419
category102,2023/9/23,6456.9871238198075
category102,2023/9/24,6502.8387302914225
category102,2023/9/25,7340.124861410166
category102,2023/9/26,7033.532803921631
category102,2023/9/27,6896.010921653821
category102,2023/9/28,6630.765434767174
category102,2023/9/29,6369.853463838957
category102,2023/9/30,6453.433947349218
category103,2023/7/1,701.8061202686201
category103,2023/7/2,695.5981045066044
category103,2023/7/3,690.2167473637475
category103,2023/7/4,668.1797236652236
category103,2023/7/5,681.2308628038628
category103,2023/7/6,687.967520868021
category103,2023/7/7,674.8296447441447
category103,2023/7/8,672.6845264180265
category103,2023/7/9,674.4464311799314
category103,2023/7/10,668.4650978465979
category103,2023/7/11,675.875075868576
category103,2023/7/12,680.7650294705295
category103,2023/7/13,695.5608542013543
category103,2023/7/14,685.4924652569654
category103,2023/7/15,676.0829024864026
category103,2023/7/16,672.5459183594185
category103,2023/7/17,671.0312516927519
category103,2023/7/18,671.155075868576
category103,2023/7/19,680.5716961371962
category103,2023/7/20,693.2208542013544
category103,2023/7/21,686.5663114108113
category103,2023/7/22,673.3695691530692
category103,2023/7/23,672.3059183594185
category103,2023/7/24,668.4712516927518
category103,2023/7/25,671.135075868576
category103,2023/7/26,680.5716961371962
category103,2023/7/27,693.2208542013544
category103,2023/7/28,686.5663114108113
category103,2023/7/29,676.0829024864026
category103,2023/7/30,672.3059183594185
category103,2023/7/31,671.0312516927519
category103,2023/8/1,671.155075868576
category103,2023/8/2,680.5716961371962
category103,2023/8/3,693.2208542013544
category103,2023/8/4,686.5663114108113
category103,2023/8/5,673.3695691530692
category103,2023/8/6,672.3059183594185
category103,2023/8/7,668.4712516927518
category103,2023/8/8,739.094075147075
category103,2023/8/9,719.4203822843824
category103,2023/8/10,749.3459610389611
category103,2023/8/11,760.5277075702076
category103,2023/8/12,794.2509759684762
category103,2023/8/13,813.339933843934
category103,2023/8/14,802.9426640026641
category103,2023/8/15,819.4925687645687
category103,2023/8/16,811.208664002664
category103,2023/8/17,815.6642513042515
category103,2023/8/18,891.3975
category103,2023/8/19,888.9373782883783
category103,2023/8/20,876.2612671772672
category103,2023/8/21,917.6812671772672
category103,2023/8/22,951.6535382395381
category103,2023/8/23,861.1916163836163
category103,2023/8/24,860.1308715728717
category103,2023/8/25,936.464015873016
category103,2023/8/26,859.8504747474748
category103,2023/8/27,858.6080144300145
category103,2023/8/28,842.7772063492064
category103,2023/8/29,813.6613318903319
category103,2023/8/30,803.4982366522366
category103,2023/8/31,818.4005461760462
category103,2023/9/1,853.467943001443
category103,2023/9/2,837.2831255411256
category103,2023/9/3,802.8399271284272
category103,2023/9/4,824.9657366522366
category103,2023/9/5,841.4723703518704
category103,2023/9/6,799.1409893994895
category103,2023/9/7,794.8308624153624
category103,2023/9/8,896.0941572871573
category103,2023/9/9,889.6964047619049
category103,2023/9/10,835.159933843934
category103,2023/9/11,817.5080541125542
category103,2023/9/12,838.4849985569984
category103,2023/9/13,797.9412513042515
category103,2023/9/14,790.7204906204908
category103,2023/9/15,863.6191572871572
category103,2023/9/16,860.9920303030304
category103,2023/9/17,842.4827922077923
category103,2023/9/18,819.5652274947274
category103,2023/9/19,839.156427128427
category103,2023/9/20,815.8748465423466
category103,2023/9/21,798.5620290820293
category103,2023/9/22,863.5335858585859
category103,2023/9/23,892.2970303030303
category103,2023/9/24,849.5941255411255
category103,2023/9/25,851.0919588744589
category103,2023/9/26,885.2764271284271
category103,2023/9/27,864.8749497169498
category103,2023/9/28,857.61041003441
category103,2023/9/29,955.1411414141414
category103,2023/9/30,867.163808080808
category104,2023/7/1,2365.578761904762
category104,2023/7/2,2368.9659047619048
category104,2023/7/3,2352.605015873016
category104,2023/7/4,2381.2782857142856
category104,2023/7/5,2378.3378095238095
category104,2023/7/6,2358.6239047619047
category104,2023/7/7,2353.8139047619047
category104,2023/7/8,2374.7749523809525
category104,2023/7/9,2365.7025714285714
category104,2023/7/10,2348.7450158730157
category104,2023/7/11,2377.5749523809527
category104,2023/7/12,2378.4978095238093
category104,2023/7/13,2356.087238095238
category104,2023/7/14,2363.2962857142857
category104,2023/7/15,2362.8825714285717
category104,2023/7/16,2366.5025714285716
category104,2023/7/17,2351.165015873016
category104,2023/7/18,2376.5949523809527
category104,2023/7/19,2378.4978095238093
category104,2023/7/20,2355.007238095238
category104,2023/7/21,2363.609619047619
category104,2023/7/22,2362.8825714285717
category104,2023/7/23,2366.5025714285716
category104,2023/7/24,2352.145015873016
category104,2023/7/25,2376.7549523809525
category104,2023/7/26,2378.4978095238093
category104,2023/7/27,2355.007238095238
category104,2023/7/28,2363.609619047619
category104,2023/7/29,2362.8825714285717
category104,2023/7/30,2366.5025714285716
category104,2023/7/31,2352.145015873016
category104,2023/8/1,2376.7549523809525
category104,2023/8/2,2378.4978095238093
category104,2023/8/3,2355.007238095238
category104,2023/8/4,2363.609619047619
category104,2023/8/5,2362.8825714285717
category104,2023/8/6,2366.5025714285716
category104,2023/8/7,2352.145015873016
category104,2023/8/8,2376.7549523809525
category104,2023/8/9,2378.4978095238093
category104,2023/8/10,2355.007238095238
category104,2023/8/11,2363.609619047619
category104,2023/8/12,2362.8825714285717
category104,2023/8/13,2366.5025714285716
category104,2023/8/14,2352.145015873016
category104,2023/8/15,2376.7549523809525
category104,2023/8/16,2378.4978095238093
category104,2023/8/17,2355.007238095238
category104,2023/8/18,2363.609619047619
category104,2023/8/19,2362.8825714285717
category104,2023/8/20,2366.5025714285716
category104,2023/8/21,2352.145015873016
category104,2023/8/22,2376.7549523809525
category104,2023/8/23,2378.4978095238093
category104,2023/8/24,2355.007238095238
category104,2023/8/25,2363.609619047619
category104,2023/8/26,2362.8825714285717
category104,2023/8/27,2366.5025714285716
category104,2023/8/28,2352.145015873016
category104,2023/8/29,2376.7549523809525
category104,2023/8/30,2378.4978095238093
category104,2023/8/31,2355.007238095238
category104,2023/9/1,2363.609619047619
category104,2023/9/2,2362.8825714285717
category104,2023/9/3,2366.5025714285716
category104,2023/9/4,2352.145015873016
category104,2023/9/5,2376.7549523809525
category104,2023/9/6,2378.4978095238093
category104,2023/9/7,2355.007238095238
category104,2023/9/8,2363.609619047619
category104,2023/9/9,2362.8825714285717
category104,2023/9/10,2366.5025714285716
category104,2023/9/11,2352.145015873016
category104,2023/9/12,2376.7549523809525
category104,2023/9/13,2378.4978095238093
category104,2023/9/14,2355.007238095238
category104,2023/9/15,2363.609619047619
category104,2023/9/16,2362.8825714285717
category104,2023/9/17,2366.5025714285716
category104,2023/9/18,2352.145015873016
category104,2023/9/19,2376.7549523809525
category104,2023/9/20,2378.4978095238093
category104,2023/9/21,2355.007238095238
category104,2023/9/22,2363.609619047619
category104,2023/9/23,2362.8825714285717
category104,2023/9/24,2366.5025714285716
category104,2023/9/25,2352.145015873016
category104,2023/9/26,2376.7549523809525
category104,2023/9/27,2378.4978095238093
category104,2023/9/28,2355.007238095238
category104,2023/9/29,2363.609619047619
category104,2023/9/30,2362.8825714285717
category105,2023/7/1,9.560926269808624
category105,2023/7/2,28.310206519311432
category105,2023/7/3,7.732539755999374
category105,2023/7/4,7.686927405927406
category105,2023/7/5,29.379702309225294
category105,2023/7/6,16.40892322808285
category105,2023/7/7,7.323659370041722
category105,2023/7/8,32.00276813487771
category105,2023/7/9,11.819781681475682
category105,2023/7/10,10.62218165168165
category105,2023/7/11,28.195769637661794
category105,2023/7/12,13.564804601016542
category105,2023/7/13,7.202463702963703
category105,2023/7/14,29.861852675154275
category105,2023/7/15,5.1597392296251625
category105,2023/7/16,9.070923687423688
category105,2023/7/17,36.06448311791413
category105,2023/7/18,17.164578750002434
category105,2023/7/19,8.313151348651349
category105,2023/7/20,28.130226559042484
category105,2023/7/21,17.83721999588628
category105,2023/7/22,9.288242257742258
category105,2023/7/23,26.537781793486488
category105,2023/7/24,26.752430376164043
category105,2023/7/25,10.169818882642414
category105,2023/7/26,35.005515348215425
category105,2023/7/27,32.409735866741244
category105,2023/7/28,9.861891199214728
category105,2023/7/29,34.63898029755085
category105,2023/7/30,35.37861231657105
category105,2023/7/31,14.247592257415787
category105,2023/8/1,33.705903719974906
category105,2023/8/2,36.05508192120386
category105,2023/8/3,22.99443597143597
category105,2023/8/4,31.88390201652551
category105,2023/8/5,39.37943373528601
category105,2023/8/6,31.727280387129362
category105,2023/8/7,43.55183632375537
category105,2023/8/8,60.9511989618324
category105,2023/8/9,52.58384695853888
category105,2023/8/10,457.32280092081413
category105,2023/8/11,45.67471592442646
category105,2023/8/12,51.78810267461582
category105,2023/8/13,39.434748137769006
category105,2023/8/14,51.848508612515644
category105,2023/8/15,43.762536169310906
category105,2023/8/16,57.506999346112316
category105,2023/8/17,512.2127843588579
category105,2023/8/18,48.506254385964915
category105,2023/8/19,53.79010267461582
category105,2023/8/20,39.68320967623055
category105,2023/8/21,50.47473083473787
category105,2023/8/22,47.70739728042202
category105,2023/8/23,47.48164220325518
category105,2023/8/24,447.5327843588579
category105,2023/8/25,48.171581309041834
category105,2023/8/26,54.49010267461582
category105,2023/8/27,40.223209676230546
category105,2023/8/28,51.82143871019574
category105,2023/8/29,44.610450607813576
category105,2023/8/30,57.366999346112316
category105,2023/8/31,447.15256213663565
category105,2023/9/1,48.64625438596491
category105,2023/9/2,53.79010267461582
category105,2023/9/3,39.84320967623055
category105,2023/9/4,50.47473083473787
category105,2023/9/5,47.82739728042202
category105,2023/9/6,47.48164220325518
category105,2023/9/7,447.5327843588579
category105,2023/9/8,48.171581309041834
category105,2023/9/9,54.49010267461582
category105,2023/9/10,40.223209676230546
category105,2023/9/11,51.82143871019574
category105,2023/9/12,44.610450607813576
category105,2023/9/13,57.366999346112316
category105,2023/9/14,447.15256213663565
category105,2023/9/15,48.64625438596491
category105,2023/9/16,53.79010267461582
category105,2023/9/17,39.84320967623055
category105,2023/9/18,50.47473083473787
category105,2023/9/19,47.82739728042202
category105,2023/9/20,47.48164220325518
category105,2023/9/21,447.5327843588579
category105,2023/9/22,48.171581309041834
category105,2023/9/23,54.49010267461582
category105,2023/9/24,40.223209676230546
category105,2023/9/25,51.82143871019574
category105,2023/9/26,44.610450607813576
category105,2023/9/27,57.366999346112316
category105,2023/9/28,447.15256213663565
category105,2023/9/29,48.64625438596491
category105,2023/9/30,53.79010267461582
category106,2023/7/1,3.440099623317969
category106,2023/7/2,6.02954395049395
category106,2023/7/3,7.288465007215007
category106,2023/7/4,6.611004166265675
category106,2023/7/5,4.802600918615996
category106,2023/7/6,3.484857858469697
category106,2023/7/7,3.823127782757077
category106,2023/7/8,6.33575683575821
category106,2023/7/9,4.4902169316878915
category106,2023/7/10,3.277675360354266
category106,2023/7/11,3.1401634238147356
category106,2023/7/12,3.241159535446629
category106,2023/7/13,3.6646123113636846
category106,2023/7/14,3.6424293537911923
category106,2023/7/15,3.37008700169884
category106,2023/7/16,3.0186489129967264
category106,2023/7/17,3.4150708885849004
category106,2023/7/18,3.2801634238147357
category106,2023/7/19,3.241159535446629
category106,2023/7/20,3.630532577144415
category106,2023/7/21,3.447883899245738
category106,2023/7/22,3.37008700169884
category106,2023/7/23,3.0186489129967264
category106,2023/7/24,3.4150708885849004
category106,2023/7/25,3.2801634238147357
category106,2023/7/26,3.241159535446629
category106,2023/7/27,3.630532577144415
category106,2023/7/28,3.447883899245738
category106,2023/7/29,3.37008700169884
category106,2023/7/30,3.0186489129967264
category106,2023/7/31,3.4150708885849004
category106,2023/8/1,3.2801634238147357
category106,2023/8/2,3.241159535446629
category106,2023/8/3,3.630532577144415
category106,2023/8/4,3.447883899245738
category106,2023/8/5,3.37008700169884
