Source,Target,Type,Id,Label,Weight,matchid,teamid,eventtime,eventsubtype,matchperiod
6,11,Directed,742,,4,14,Huskies,1623.962787,Simple pass,2H
6,8,Directed,695,,6,14,Huskies,1805.422863,Simple pass,2H
6,7,Directed,872,,1,14,Huskies,1127.487269,Simple pass,2H
6,5,Directed,681,,4,14,Huskies,1081.936107,Launch,2H
6,4,Directed,663,,2,14,Huskies,2533.208649,Simple pass,1H
6,3,Directed,659,,8,14,Huskies,2074.520411,Simple pass,2H
6,2,Directed,664,,9,14,Huskies,2327.304052,Simple pass,2H
6,1,Directed,688,,5,14,Huskies,1549.653773,Simple pass,2H
7,13,Directed,857,,1,14,Huskies,2618.167553,High pass,1H
7,12,Directed,887,,1,14,Huskies,1540.823298,Launch,2H
7,5,Directed,667,,8,14,Huskies,2536.945964,Launch,1H
7,2,Directed,759,,1,14,Huskies,1631.480369,High pass,1H
7,1,Directed,882,,2,14,Huskies,2857.307739,Simple pass,2H
8,13,Directed,868,,2,14,Huskies,2297.927562,Simple pass,2H
8,12,Directed,754,,4,14,Huskies,2811.813538,Simple pass,2H
8,11,Directed,820,,7,14,Huskies,2311.327348,Simple pass,2H
8,10,Directed,971,,1,14,Huskies,2674.800551,Simple pass,2H
8,9,Directed,988,,1,14,Huskies,2814.735012,Simple pass,2H
8,7,Directed,696,,1,14,Huskies,482.310129,Simple pass,1H
8,6,Directed,680,,9,14,Huskies,2072.234047,Simple pass,2H
8,5,Directed,930,,1,14,Huskies,2054.412612,Simple pass,2H
8,4,Directed,725,,5,14,Huskies,1544.850945,Simple pass,2H
8,3,Directed,705,,5,14,Huskies,2317.308397,Simple pass,2H
8,2,Directed,673,,5,14,Huskies,2832.395937,High pass,2H
8,1,Directed,686,,5,14,Huskies,1613.702522,Simple pass,2H
9,12,Directed,1005,,1,14,Huskies,2873.023201,Simple pass,2H
9,10,Directed,989,,1,14,Huskies,2818.202024,Simple pass,2H
9,2,Directed,979,,1,14,Huskies,2798.461433,Simple pass,2H
10,14,Directed,983,,1,14,Huskies,2807.299296,Simple pass,2H
10,11,Directed,998,,1,14,Huskies,2846.261375,Simple pass,2H
10,8,Directed,985,,1,14,Huskies,2809.870638,Simple pass,2H
10,4,Directed,972,,1,14,Huskies,2677.376935,Simple pass,2H
10,3,Directed,976,,2,14,Huskies,2820.852723,Simple pass,2H
11,13,Directed,803,,4,14,Huskies,1725.459599,Simple pass,2H
11,12,Directed,684,,5,14,Huskies,2451.867816,Simple pass,2H
11,8,Directed,896,,3,14,Huskies,2315.041383,Simple pass,2H
11,5,Directed,880,,1,14,Huskies,1510.552598,Simple pass,2H
11,4,Directed,734,,10,14,Huskies,2848.808001,Simple pass,2H
11,2,Directed,899,,1,14,Huskies,1624.586028,Simple pass,2H
11,1,Directed,908,,1,14,Huskies,1661.784951,Simple pass,2H
12,13,Directed,903,,4,14,Huskies,2069.062241,Simple pass,2H
12,11,Directed,974,,1,14,Huskies,2780.799927,Cross,2H
12,8,Directed,720,,5,14,Huskies,2813.19246,Simple pass,2H
12,6,Directed,661,,6,14,Huskies,705.036026,Simple pass,2H
12,5,Directed,790,,5,14,Huskies,2524.187232,Head pass,2H
12,4,Directed,770,,2,14,Huskies,2440.194952,Simple pass,2H
12,2,Directed,693,,3,14,Huskies,1757.885911,Simple pass,1H
12,1,Directed,729,,2,14,Huskies,1833.732294,Simple pass,1H
13,11,Directed,781,,3,14,Huskies,1816.665314,Simple pass,2H
13,8,Directed,819,,3,14,Huskies,2299.046996,Simple pass,2H
13,6,Directed,830,,5,14,Huskies,2324.276924,Simple pass,2H
13,5,Directed,670,,3,14,Huskies,1727.262786,Simple pass,2H
13,4,Directed,727,,3,14,Huskies,625.150979,Simple pass,2H
13,2,Directed,885,,4,14,Huskies,2270.455644,Simple pass,2H
14,12,Directed,973,,1,14,Huskies,2780.203664,Simple pass,2H
14,10,Directed,984,,1,14,Huskies,2808.66176,Simple pass,2H
14,2,Directed,996,,1,14,Huskies,2840.075509,Simple pass,2H
