Source,Target,Type,Id,Label,Weight,matchid,teamid,matchperiod,eventtime,eventsubtype,x1,y1,x2,y2,delta x,delta y,abs delta y
15,9,Directed,13271,,2,29,Opponent7,1H,631.983367,Simple pass,93,14,95,4,2,-10,10
14,5,Directed,13272,,11,29,Opponent7,2H,981.942629,Simple pass,48,82,53,97,5,15,15
4,7,Directed,13273,,1,29,Opponent7,1H,170.912309,High pass,29,68,73,19,44,-49,49
9,15,Directed,13274,,4,29,Opponent7,1H,1635.642578,Simple pass,91,39,92,45,1,6,6
2,14,Directed,13277,,9,29,Opponent7,2H,388.658576,Simple pass,34,26,34,43,0,17,17
14,4,Directed,13278,,5,29,Opponent7,1H,2715.350904,Simple pass,55,47,41,58,-14,11,11
4,14,Directed,13279,,4,29,Opponent7,1H,1714.065686,Simple pass,48,49,53,76,5,27,27
1,7,Directed,13282,,3,29,Opponent7,2H,2872.637728,Simple pass,36,79,62,83,26,4,4
1,10,Directed,13284,,1,29,Opponent7,1H,270.174172,Simple pass,37,68,62,61,25,-7,7
10,7,Directed,13285,,3,29,Opponent7,2H,2857.586192,Head pass,25,55,40,61,15,6,6
7,9,Directed,13286,,1,29,Opponent7,1H,274.414895,Simple pass,75,37,80,15,5,-22,22
14,15,Directed,13294,,4,29,Opponent7,2H,1855.386196,Simple pass,60,19,93,18,33,-1,1
9,5,Directed,13295,,1,29,Opponent7,1H,338.13982,Smart pass,67,25,95,90,28,65,65
15,3,Directed,13296,,5,29,Opponent7,2H,574.035388,Simple pass,80,16,60,13,-20,-3,3
15,10,Directed,13299,,4,29,Opponent7,2H,925.045244,Simple pass,83,88,85,98,2,10,10
10,14,Directed,13302,,6,29,Opponent7,2H,775.774969,Simple pass,73,33,64,12,-9,-21,21
14,2,Directed,13303,,6,29,Opponent7,2H,777.354186,Simple pass,64,12,57,24,-7,12,12
2,4,Directed,13304,,3,29,Opponent7,2H,780.50846,Simple pass,57,24,55,80,-2,56,56
14,10,Directed,13306,,3,29,Opponent7,2H,1498.21514,Simple pass,42,83,55,98,13,15,15
4,1,Directed,13308,,4,29,Opponent7,2H,6.997924,Head pass,16,89,23,95,7,6,6
1,5,Directed,13309,,6,29,Opponent7,1H,2434.01216,Simple pass,76,94,64,93,-12,-1,1
10,15,Directed,13312,,3,29,Opponent7,2H,928.563675,Simple pass,85,98,64,97,-21,-1,1
3,15,Directed,13315,,3,29,Opponent7,1H,2598.615723,Simple pass,60,2,76,2,16,0,0
3,7,Directed,13318,,7,29,Opponent7,2H,1532.665883,Simple pass,42,6,88,12,46,6,6
5,1,Directed,13323,,4,29,Opponent7,2H,1584.266672,Simple pass,36,99,55,99,19,0,0
2,15,Directed,13325,,4,29,Opponent7,2H,2541.95074,Head pass,6,47,26,26,20,-21,21
15,2,Directed,13326,,2,29,Opponent7,1H,2087.411267,Simple pass,54,40,37,17,-17,-23,23
4,9,Directed,13327,,1,29,Opponent7,1H,951.273132,Head pass,39,69,65,63,26,-6,6
3,14,Directed,13331,,4,29,Opponent7,1H,2602.824272,Simple pass,67,2,51,4,-16,2,2
15,7,Directed,13333,,2,29,Opponent7,2H,751.428962,High pass,24,6,64,15,40,9,9
14,3,Directed,13354,,4,29,Opponent7,2H,1530.072791,Simple pass,34,21,42,6,8,-15,15
5,14,Directed,13364,,3,29,Opponent7,2H,982.647264,Simple pass,53,97,42,93,-11,-4,4
15,14,Directed,13365,,2,29,Opponent7,2H,770.064598,Simple pass,95,14,77,12,-18,-2,2
9,14,Directed,13367,,1,29,Opponent7,1H,1707.544681,Head pass,75,22,55,50,-20,28,28
5,7,Directed,13372,,3,29,Opponent7,2H,1244.086143,Smart pass,68,90,88,71,20,-19,19
7,5,Directed,13390,,1,29,Opponent7,1H,2111.516449,Simple pass,54,79,39,75,-15,-4,4
10,1,Directed,13398,,2,29,Opponent7,2H,411.011086,Simple pass,48,70,59,94,11,24,24
1,14,Directed,13399,,2,29,Opponent7,2H,860.251802,Simple pass,79,66,73,45,-6,-21,21
1,2,Directed,13404,,1,29,Opponent7,1H,2286.942991,Simple pass,36,32,25,23,-11,-9,9
5,8,Directed,13410,,5,29,Opponent7,2H,938.188461,Simple pass,33,96,10,79,-23,-17,17
8,10,Directed,13411,,1,29,Opponent7,1H,2563.423411,Launch,5,75,40,90,35,15,15
14,7,Directed,13412,,1,29,Opponent7,1H,2569.384818,Launch,36,70,70,79,34,9,9
5,2,Directed,13414,,2,29,Opponent7,2H,1196.314113,Simple pass,35,94,23,33,-12,-61,61
6,1,Directed,13455,,2,29,Opponent7,2H,759.852168,Simple pass,79,44,88,70,9,26,26
14,6,Directed,13462,,1,29,Opponent7,2H,748.190922,Head pass,17,18,30,19,13,1,1
6,15,Directed,13463,,2,29,Opponent7,2H,945.450131,Simple pass,69,71,65,77,-4,6,6
1,6,Directed,13466,,2,29,Opponent7,2H,1585.251318,Simple pass,55,99,64,94,9,-5,5
15,5,Directed,13479,,1,29,Opponent7,2H,929.877587,Simple pass,64,97,64,83,0,-14,14
2,6,Directed,13489,,2,29,Opponent7,2H,1673.731879,High pass,48,26,68,76,20,50,50
1,15,Directed,13491,,1,29,Opponent7,2H,1248.834303,Cross,98,90,87,32,-11,-58,58
7,6,Directed,13494,,3,29,Opponent7,2H,2876.203125,Simple pass,62,83,70,41,8,-42,42
8,14,Directed,13507,,1,29,Opponent7,2H,1849.739674,Hand pass,9,31,34,24,25,-7,7
6,7,Directed,13510,,1,29,Opponent7,2H,2150.340531,Head pass,46,82,59,82,13,0,0
7,1,Directed,13511,,1,29,Opponent7,2H,2151.647962,Head pass,59,82,43,93,-16,11,11
15,6,Directed,13515,,1,29,Opponent7,2H,2543.753447,High pass,26,26,68,28,42,2,2
3,1,Directed,13519,,1,29,Opponent7,2H,2869.901406,Head pass,20,48,36,79,16,31,31
