Source,Target,Type,Id,Label,Weight,matchid,teamid
13,2,Directed,2,,9,29,Huskies
13,1,Directed,8,,9,29,Huskies
13,4,Directed,19,,16,29,Huskies
13,14,Directed,23,,10,7,Huskies
13,17,Directed,24,,3,7,Huskies
13,9,Directed,26,,6,29,Huskies
13,16,Directed,121,,4,29,Huskies
13,3,Directed,169,,2,7,Huskies
13,6,Directed,196,,5,29,Huskies
13,12,Directed,244,,2,29,Huskies
13,7,Directed,314,,7,29,Huskies
13,15,Directed,337,,2,29,Huskies
13,8,Directed,375,,2,7,Huskies
13,11,Directed,389,,5,29,Huskies
13,10,Directed,407,,1,29,Huskies
13,5,Directed,439,,4,29,Huskies
14,13,Directed,10,,10,7,Huskies
14,16,Directed,17,,5,7,Huskies
14,4,Directed,30,,3,7,Huskies
14,9,Directed,65,,1,7,Huskies
14,3,Directed,67,,7,7,Huskies
14,1,Directed,87,,4,7,Huskies
14,2,Directed,171,,3,7,Huskies
14,6,Directed,222,,2,7,Huskies
14,17,Directed,231,,1,7,Huskies
15,13,Directed,294,,3,29,Huskies
15,3,Directed,308,,2,7,Huskies
15,2,Directed,310,,3,29,Huskies
15,7,Directed,319,,2,7,Huskies
15,16,Directed,328,,4,29,Huskies
15,1,Directed,388,,1,29,Huskies
15,4,Directed,451,,1,29,Huskies
15,6,Directed,454,,1,29,Huskies
15,11,Directed,479,,1,29,Huskies
15,5,Directed,497,,2,29,Huskies
16,2,Directed,0,,3,7,Huskies
16,13,Directed,18,,3,29,Huskies
16,14,Directed,39,,2,7,Huskies
16,9,Directed,42,,4,7,Huskies
16,3,Directed,126,,3,7,Huskies
16,17,Directed,163,,1,7,Huskies
16,4,Directed,199,,5,29,Huskies
16,6,Directed,265,,9,29,Huskies
16,7,Directed,351,,2,7,Huskies
16,15,Directed,353,,1,7,Huskies
16,10,Directed,395,,5,29,Huskies
16,11,Directed,400,,6,29,Huskies
17,4,Directed,6,,6,7,Huskies
17,16,Directed,28,,2,7,Huskies
17,13,Directed,31,,3,7,Huskies
17,3,Directed,35,,1,7,Huskies
17,6,Directed,37,,1,7,Huskies
17,9,Directed,80,,1,7,Huskies
17,14,Directed,187,,1,7,Huskies
17,7,Directed,279,,1,7,Huskies
