Source,Target,Type,Id,Label,Weight,matchid
10,20,Directed,941,,2,26
10,5,Directed,988,,2,26
10,14,Directed,999,,1,26
10,8,Directed,1067,,1,26
10,7,Directed,1077,,1,26
11,5,Directed,1090,,1,26
11,16,Directed,1100,,1,26
11,20,Directed,1117,,1,26
12,15,Directed,866,,3,26
12,10,Directed,873,,3,26
12,6,Directed,877,,2,26
12,16,Directed,1015,,1,26
13,8,Directed,728,,4,26
13,3,Directed,773,,2,9
13,4,Directed,779,,1,9
13,1,Directed,835,,4,26
13,7,Directed,908,,5,26
13,10,Directed,947,,1,26
13,2,Directed,976,,3,26
13,6,Directed,984,,2,26
13,12,Directed,1005,,1,26
14,1,Directed,701,,4,26
14,6,Directed,706,,8,26
14,9,Directed,721,,3,9
14,18,Directed,738,,3,9
14,17,Directed,739,,2,9
14,2,Directed,767,,3,26
14,3,Directed,802,,1,9
14,4,Directed,829,,1,9
14,5,Directed,870,,2,26
14,12,Directed,875,,2,26
14,13,Directed,896,,1,26
14,15,Directed,938,,5,26
14,20,Directed,964,,3,26
14,10,Directed,966,,2,26
14,16,Directed,975,,4,26
14,7,Directed,1000,,3,26
14,8,Directed,1064,,1,26
19,6,Directed,842,,1,9
19,4,Directed,844,,1,9
19,16,Directed,845,,1,9
19,3,Directed,855,,1,9
19,1,Directed,865,,1,9
20,6,Directed,933,,4,26
20,5,Directed,942,,1,26
20,14,Directed,965,,2,26
20,10,Directed,987,,2,26
20,15,Directed,1035,,1,26
15,10,Directed,867,,1,26
15,14,Directed,874,,8,26
15,1,Directed,884,,2,26
15,5,Directed,895,,2,26
15,6,Directed,901,,11,26
15,20,Directed,906,,5,26
15,12,Directed,919,,3,26
15,13,Directed,948,,3,26
15,7,Directed,980,,3,26
15,2,Directed,1002,,2,26
15,16,Directed,1027,,4,26
15,11,Directed,1099,,1,26
16,9,Directed,786,,1,9
16,8,Directed,793,,4,26
16,18,Directed,798,,2,9
16,1,Directed,806,,3,9
16,6,Directed,847,,1,9
16,19,Directed,859,,1,9
16,14,Directed,972,,2,26
16,5,Directed,1028,,3,26
16,10,Directed,1032,,1,26
16,11,Directed,1101,,2,26
16,2,Directed,1105,,1,26
16,20,Directed,1107,,1,26
16,7,Directed,1128,,1,26
17,3,Directed,700,,1,9
17,4,Directed,703,,4,9
17,14,Directed,705,,1,9
17,9,Directed,731,,2,9
17,18,Directed,753,,2,9
17,6,Directed,782,,2,9
17,8,Directed,789,,2,9
17,19,Directed,853,,2,9
18,14,Directed,720,,2,9
18,6,Directed,723,,4,9
18,9,Directed,725,,2,9
18,3,Directed,759,,2,9
18,17,Directed,770,,2,9
18,1,Directed,791,,1,9
18,4,Directed,799,,2,9
18,8,Directed,814,,1,9
18,16,Directed,858,,1,9
