品类,7月库存量,8月库存量,9月库存量
category93,377134.2088886943,444842.4998131844,504716.795469788
category151,511267.1053337685,656973.6778751847,812429.446007285
category247,454309.4134311199,554188.2136393944,648906.9726348496
category12,503734.53302994464,597287.5494284579,684140.6759621026
category47,506666.0956412777,630542.0871559568,753710.1593787633
category62,426885.0124952659,568063.144904499,732790.7303809128
category316,487252.4106164016,602452.9048278192,714808.3581267195
category136,286242.2641491685,350033.1277382006,411510.9835335845
category248,345813.2513466373,401357.9649823164,446887.2439095724
category17,519872.9003762016,661277.9121954441,809693.9951738724
category89,503506.3414753999,676754.4208971987,879130.2041177872
category285,495490.2777744706,657756.8498824019,845898.8395751572
category35,352471.1940795041,426849.9328964157,497015.4815898449
category160,328033.8384141986,375858.1419252149,414157.46398052457
category97,452864.4916947689,570692.2880321587,693078.7561247689
category16,359927.8415902117,440993.1072838551,519007.82186749927
category51,277706.97519883746,312602.24181677494,338764.4713479082
category267,329111.2579401024,407997.1056900695,485615.7001251644
category154,347270.1961844278,445988.2406453764,552150.2805889779
category287,258888.58735496504,369065.1996707165,513102.8988899753
category121,294477.2936080366,388143.5624569381,495013.7236893412
category253,380051.4356173037,511129.5501448592,663403.3105398711
category135,357093.763643682,445548.7755541354,533797.5371472761
category143,240325.0173672451,276665.81214259943,306462.85173851234
category307,260231.6270153987,312237.16860861087,359722.07290757727
category73,263427.84554112656,324283.49473989126,383215.07960530114
category293,255208.64173537632,321988.78196119936,390175.0329004312
category236,304056.6131413032,368594.976452958,429326.5389525589
category80,288963.56738860626,361939.3040367998,436013.443059965
category297,245376.67079125624,293272.1253735423,336930.76959701884
category226,309019.60087205435,404564.8546998348,511006.3215814206
category103,288264.98183910176,367712.3601365828,452899.05968458415
category107,291030.4293470606,363643.42053583823,435943.1035190746
category56,310434.7158721504,374939.8115824878,436722.05071750446
category232,312391.6234149868,392344.3734900616,473530.4339338048
category273,308306.1437363876,366636.38278705615,419250.40638633294
category184,244721.900445744,339156.3337628958,458871.7211240517
category146,218359.44231159124,254938.03857636225,286487.586582063
category124,304019.0447593788,379057.3093982206,457383.2218323208
category46,234110.6997482148,289097.3267680295,342943.1921860827
category165,264803.14968829,336447.99655770976,411464.0750076461
category173,213863.4552834488,262124.38727881783,309134.411248171
category45,237120.3883506996,289498.71877947147,339512.3264721064
category122,189098.42939106797,221498.32031120267,249812.11909596305
category138,217277.90109131692,267006.2242557127,315180.4414111534
category208,197553.05441463413,233270.85586343837,264955.71004809
category205,119550.62364551006,129497.2418324255,135593.6958151213
category321,217345.18320227257,257467.25555875152,292872.531396257
category241,214356.5990552204,249614.1321480755,279998.503440706
category281,247239.41315301,353406.0596637571,492184.21533543215
category169,309645.3065974675,387439.5100885965,464912.91604714096
category275,296709.5204624388,405256.33293692407,537166.9479895746
category33,231435.34226693737,296022.0430318037,363928.61337441753
category322,206550.7284648349,251925.06897007383,294886.7962359962
category152,266592.2609632707,360927.102816685,474238.0486219653
category8,179862.96007511916,228012.74068083044,278187.1373505449
category28,155447.1292715797,183069.45559791705,206693.29439562364
category324,171338.06128478702,212959.71776848935,254299.96254225168
category171,313551.34577657067,444309.9623853541,619093.0071719002
category85,184492.3517387295,231709.6200211188,279448.06182499044
category239,118737.64558545889,141384.86171892728,161962.18662742796
category303,557932.2483119786,611040.9003918917,645461.7530416837
category43,113451.5674946478,138414.56943749823,162886.46899488824
category296,159570.40750879096,197522.83772378648,235098.3321400252
category49,128681.03327095398,156099.96316062642,181960.05637010763
category233,182595.5467559925,211914.72859446023,236225.140745524
category194,82663.55705904588,102548.67925416306,122472.8303333018
category318,85721.04139615536,100983.66358519034,114244.61333783188
category256,101664.91396982876,123049.91936119615,143025.23239681585
category79,604728.2162597976,1286309.1032461645,2706349.73696957
category27,120767.68049281056,147611.29590495245,173310.81686147
category13,150394.65299937525,184843.2741916331,218036.6664163957
category252,40670.07693346322,47082.61350984352,52556.377537696666
category38,175816.64493259153,251192.31666306916,347208.68313232134
category26,170057.44851540297,215241.61616519385,262559.01843684376
category258,111568.53895130956,151200.10772533683,198850.38664188297
category105,101761.4537629917,125661.90022277345,148976.32135293935
category140,101671.42261251363,133847.83664618636,170020.22430527647
category295,109702.00627453004,129531.01874744504,146852.83629359456
category118,131770.93092008948,177342.26212650182,232320.2223648324
category114,108149.38614662737,132646.59131665342,156440.10352715384
category163,101234.11362200936,122077.50775549436,141137.96893620418
category215,96635.09260350466,120036.44333031216,143515.76818666514
category300,84894.38011887894,113324.55259094032,147136.65443061452
category78,44207.07495890219,52605.63046323959,60326.58768007315
category88,131337.8569593717,173723.09136526356,221055.16459147376
category70,107083.48059304188,137666.19408666587,169860.35206376575
category156,74863.89031819048,115836.26023124336,179407.6649070233
category238,70286.92067694088,88485.31981354783,107493.94014578425
category94,100415.52147412136,124655.68903706642,148566.4683064653
category228,86963.200157298,132457.4397669876,199625.61829028244
category268,83312.98548220836,119893.37887230556,167625.4122898323
category137,3184485.264150329,4041043.570560832,4919853.2639728
category157,49549.0956128796,56878.96324339241,62817.82436749354
category63,567150.6971961323,643601.838841683,701294.4772021209
category108,65935.54233919679,97449.830796582,141287.87221634222
category292,22043.79805886708,24689.17656365389,26782.45920783905
category116,70486.28992556108,80533.02511867328,88433.821115937
category127,54969.20245312044,67119.45967187904,78723.7700773353
category261,69406.7368595337,91278.77735428743,115572.30857292982
category214,59473.38780924661,72886.23932520184,85838.74229118321
category257,67561.8133054691,91134.85228211228,118771.75375437526
category227,66497.82872453285,78916.62119672669,90325.28359681522
category271,54496.43605528542,68994.45809187205,84487.08296874724
category91,52319.74596212088,64429.43845913897,76147.66524734703
category174,31199.50017797687,36026.07574201645,40042.38795485021
category25,50210.192155619385,62279.182420458645,74251.9141529086
category284,55776.30983405944,62884.32623545807,68396.41433844883
category211,35201.60924142653,42330.54906212344,48901.56767763682
category100,48163.10228253788,64460.79525761691,84200.50612713961
category90,45991.10389812119,55885.98905093837,65148.215927917074
category251,17507.17131336336,19964.54335650186,21969.724420233302
category176,51003.3210022249,65614.14271733255,81330.0608501645
category34,28715.602741521085,35763.203510921216,42842.11789112096
category123,54315.592250532005,67135.68324919301,79856.51688165637
category22,39272.05535933991,47330.67826225952,54748.829533933225
category19,23263.35792255288,37209.91544195673,60512.06263800441
category272,42677.01476563793,53392.67224108335,64122.88889508881
category178,44858.4173149575,66873.40941889427,97794.4459903432
category64,44396.93777693797,59488.538799447655,77050.91714303679
category74,28674.067830753105,35062.02760775044,41345.13027574099
category182,200671.74208044368,588855.4065633675,1754265.4110719678
category53,48542.29290417044,56398.3276734304,62814.96471632797
category18,33326.43996191374,40098.58942525294,46491.82501728973
category180,11353.558946387588,11954.19173147209,12288.449991224938
category110,31215.556792397903,41231.32747894739,52582.00464204448
category311,48070.54697396426,59535.720387507405,70345.15675010893
category158,35481.8841715272,45151.06043022644,55441.87984015953
category201,33448.31753434503,43363.91877639045,54225.39775939511
category218,28120.1853473885,33339.18595786316,37909.69643886108
category172,44255.14066846136,57463.18762886724,72874.1583022732
category75,24702.772114425497,29643.221127375557,34181.70798999756
category111,16757.543171799225,18557.57493799577,19886.321825620376
category144,23050.87492023578,26796.07586846044,30165.858259473334
category189,33064.73138857906,34844.21625673966,35810.66455134062
category204,33611.54858697037,40520.17306253467,46562.22649975178
category76,30251.862558914465,35464.96630001209,39927.639699342864
category1,23967.36604309862,29669.76573261607,35313.70216041291
category246,33261.011440641385,47059.96233496801,64898.93137005471
category305,41544.64296498479,56457.82065322696,74412.45072561348
category306,16067.273135765075,18442.715156474544,20408.56640203921
category5,17930.839289566706,22137.91911206217,26252.7511771656
category222,24006.420659481075,31193.72658910516,39182.72072202255
category290,18192.4715528191,22081.377731518893,25824.68239395265
category333,0.0,0.0,0.0
category150,16620.256930839365,18925.61778658047,20754.02941068549
category120,13018.062872928904,14823.349802281293,16231.471411155664
category224,25796.67328023574,34628.527085950744,44871.1137127428
category168,16221.160867755769,19806.45050192841,23244.365108195707
category277,21354.742933340956,27280.65981992602,33604.39245364406
category4,24504.978536396346,30359.58455843752,36097.29063432431
category132,22803.910769193197,25675.722927759394,27972.248495285072
category186,423313.6258539994,549405.7412498862,689496.3952489771
category67,14304.29250880752,16994.687227895964,19380.17511968945
category177,20131.46249413219,23963.51698701505,27480.707285651413
category320,21852.88415939708,30800.00381831718,42143.879475300215
category125,17860.193659111275,22224.05656750407,26564.79125360085
category229,88816.77432470529,123845.85709557596,166545.0228016231
category188,585925.6825108235,861299.4358430794,1235055.4688654891
category230,12603.550662087851,14697.52254839403,16473.577476516602
category270,18326.526530027888,21257.47565915747,23753.62015432783
category147,21315.63929829588,24958.320031189367,28119.786333952045
category231,20527.425950796533,26556.10746942301,33631.46456027111
category101,12954.130629938909,16820.347345283717,21239.617039008765
category347,16995.442768398487,19401.40832472756,21217.295234740708
category264,29891.86707110089,52544.40100497362,93696.06269108616
category302,14342.451311455778,20864.401233601977,29722.79328991225
category98,14956.067371288744,18054.27407293085,20903.12046672937
category14,26428.36939046596,31994.51935857676,37210.17507155487
category340,12299.98939601297,15058.662269842302,17756.45568270104
category117,21511.240205929927,30320.894091977112,41171.29879896127
category112,16295.784477965904,30678.22202436864,59701.48411783989
category155,18028.580394093857,23454.712649053872,29547.887872013074
category139,164967.11788856762,199243.35670960235,229852.55360757667
category289,9569.34299620774,15265.52294160604,24565.815293872976
category39,16149.9063305963,21876.3677804849,28612.27752970439
category312,12833.082143837128,16120.119095405424,19670.66340501412
category99,9191.117700368726,11768.002643338725,14476.240004690995
category278,10265.994132802094,12645.576785246987,14983.075911944892
category23,13975.884861640225,17516.984475120495,20995.43405533547
category301,11903.74761744284,16891.240460610232,23441.640059627105
category202,23435.500043034557,29708.20021037757,35980.300549820065
category175,9944.951982967566,10311.185115711836,10484.982884947536
category59,43667.25456608931,62182.07274479602,86046.59103994613
category162,7552.363891455231,13492.777816635602,24398.20225080787
category335,3785.0837893459375,4068.455176063526,4255.57019434725
category106,4876.995485702317,5399.638080971406,5790.2447364354575
category92,10580.914849153583,11925.72933420811,12906.820651770928
category129,287136.08128819696,385417.0556978352,501362.65337997966
category113,9265.171120750198,11998.700306831666,14937.59198537307
category96,6085.571842134319,7268.093106370263,8332.08842565809
category81,8570.243881146536,12467.147044839869,17716.05866291536
category145,11609.910367107152,14652.229887286,17931.19279167343
category341,9525.57085225166,10630.384232154349,11498.243538891487
category3,17974.73028417214,25679.68846154613,35319.904141478975
category68,5820.955814058429,7860.047789724877,10370.011213872747
category217,12501.481143229626,15918.66265138678,19457.6753355315
category298,8035.959226502302,11763.406512275082,16715.829373464625
category69,4395.454633182937,5385.180680030629,6335.521270919493
category220,6781.635949235444,8087.3824886549555,9248.974943784942
category126,7575.005963246702,9404.170173191187,11188.331373150895
category11,26531.46368752951,31347.069507712346,35528.72522470764
category310,5278.700590274006,6564.689091695749,7837.774158302709
category66,20582.65171533097,29643.743814234276,41271.01153109355
category349,2146.579555406908,2382.844367099554,2554.5426338389107
category206,3936.603185224501,4688.804388152036,5373.055060970037
category134,2905.9041333606874,3626.720177236479,4345.552688948286
category342,4844.908286082421,11898.15440114292,35632.11728456374
category234,23642.522853301016,25782.138253191035,27269.00462640831
category327,1298.78863991267,1371.3419211548571,1410.9905411153668
category57,3928.5452943398254,6047.65037525932,9282.607985951136
category304,643.7811672638024,716.9000746898041,776.6667143792625
category235,2520.3268458859798,2998.958058597518,3425.578380289533
category133,7171.658222791793,9247.000580377648,11487.832982498312
category255,23741.56962973565,69661.4773943202,216353.91919420467
category314,8983.593003595852,10403.607679409311,11671.9914619333
category350,4248.385032147744,4656.144743973351,4936.477335207552
category142,2748.1522690088223,3527.371222069465,4355.395833649773
category119,16995.525768027604,19881.028224905192,22479.18622512133
category269,3517.3654410251847,4153.997156763051,4704.084773921848
category199,4403.590096808126,5514.243027088625,6636.661895121666
category179,8279.248443053079,12374.820504769414,17859.053285650505
category10,3761.89684683063,9616.038499021188,24495.359586260973
category309,1889.3269110749984,4805.646390257944,13596.390395058848
category244,1707.0748889717925,2098.299485720072,2476.3521953168893
category149,1634.5939553713813,1872.1939625995244,2054.8430329680623
category24,291567.10208157817,424264.6295254641,598902.2883060719
category71,182540.96581141956,209307.0956597817,230306.7591601162
category6,1333.9439370086106,1578.6951055802183,1798.6095250733526
category131,5285.35783158441,7834.086781125176,11114.815978546156
category317,856.6191936249461,1014.6631702922598,1155.4315976981386
category9,790.2335970497725,875.3408353948867,937.205616286122
category343,2172.237810632162,7053.601145179568,23501.92629116656
category181,2092.8372163502354,2604.3809885736337,3110.971556400691
category338,773.0059620017482,935.2270424708622,1086.5079664436385
category330,322.2462162785472,364.245351560462,397.32763604244496
category265,5290.501849734748,6413.905938298238,7489.182933991855
category31,674.5640420371958,807.0230403459791,926.5110922436184
category36,2424.205219754812,6100.963777735637,15897.526067615046
category219,667.7768837438825,842.2811099784803,1021.2042958867268
category193,1073.9647593872678,1311.3207895710711,1534.6845728130024
category37,654.0162502216433,915.7567658469848,1246.2349016110838
category221,961.2662062448296,1506.5478553389871,2320.7941004343475
category41,1773.6496056705453,2672.979145611515,3996.170879553576
category334,484.6171386747346,866.4586029890894,1559.6537633194853
category170,142.64943843593986,151.96970833387877,157.66533765414735
category294,598.550532468261,606.7194878778109,609.5333052479597
category315,814.6874370551191,1024.9243884209504,1252.1986098626726
category319,2530.4712852308985,3199.543961217929,3884.8403537587183
category207,1331.148022389385,4514.902861332674,16311.48328503191
category115,575.9594648861937,904.1591292336852,1396.306010116337
category260,196.50410719183128,240.91996070686127,284.85198620548726
category337,249.0038575319693,278.18515023759426,298.86358324408013
category291,2412.473897403681,3340.0379720719006,4596.226949684571
category83,288.35390999625463,400.1845692443024,538.8601524188522
category55,1517.978365693259,2065.4212385153446,2707.427483161663
category216,325.8260132137308,357.74818857077514,380.03953779758
category187,3749.5730345877214,14887.508693824402,59334.90437190919
category348,77.1738136702958,84.38858335553167,89.18737084559558
category54,972.550862843427,2115.3511276065,5084.378281066187
category328,1249.46986060301,1719.917384278504,2270.459433030266
category339,199.64346565379836,245.40865330119985,289.6394542370365
category332,76.0,92.0,112.0
category82,235.24725995046404,272.35070334841964,301.8918841999159
category331,70667.40494035977,107503.52910642444,161588.02431927947
category288,67.49187677382639,70.05753683079715,71.19968797405525
category344,1543.2023481803208,2755.670009898387,4931.853205434391
category249,128.0,160.0,192.0
category212,10854.502947522657,12628.907463980364,14102.942954715836
category52,34579.40193412832,55665.03317004882,88384.31350712407
category159,64.0,64.0,128.0
category7,62.22408364256029,75.81490107939902,88.795978796577
category346,6381.363175943514,7602.628628514473,8657.573159284531
category167,491.6977449657877,668.7279459242191,862.8816026145805
category192,627660.329743888,649072.6327530066,660407.823390443
category50,2115.2485061878624,2940.5881468398047,3943.2767629552254
category213,1130.4003093235542,1413.5633722966768,1680.1335532131943
category345,45.20270244300366,55.813083981207,66.23399950054909
category274,88.7854044737199,106.22801776584562,120.92897389567588
category326,91.98397974129942,92.2882122651388,92.34563974032952
category210,56.48503073675784,64.59942095204651,70.10848816765491
category329,1566.1056577118434,1991.127596910912,2414.372030596147
category336,28.92437053051296,32.72168439283395,35.607432381481374
