品类,月份,库存量
category239,2022年7月,42907
category303,2022年7月,42770
category43,2022年7月,41906
category296,2022年7月,41492
category49,2022年7月,39962
category233,2022年7月,39018
category194,2022年7月,38363
category318,2022年7月,36382
category256,2022年7月,35505
category79,2022年7月,34987
category27,2022年7月,34941
category13,2022年7月,34322
category252,2022年7月,34165
category38,2022年7月,33119
category26,2022年7月,32880
category258,2022年7月,31752
category105,2022年7月,31180
category140,2022年7月,30743
category295,2022年7月,30371
category118,2022年7月,29097
category114,2022年7月,28431
category163,2022年7月,27349
category215,2022年7月,26232
category300,2022年7月,24339
category78,2022年7月,21998
category88,2022年7月,21742
category70,2022年7月,20737
category156,2022年7月,19966
category238,2022年7月,19683
category94,2022年7月,19618
category228,2022年7月,19534
category268,2022年7月,19486
category137,2022年7月,19069
category157,2022年7月,19000
category63,2022年7月,17572
category108,2022年7月,16809
category292,2022年7月,16617
category116,2022年7月,15985
category127,2022年7月,15859
category261,2022年7月,15440
category214,2022年7月,15322
category257,2022年7月,15321
category227,2022年7月,15050
category271,2022年7月,15021
category91,2022年7月,14834
category174,2022年7月,14553
category25,2022年7月,13203
category284,2022年7月,13004
category211,2022年7月,12883
category100,2022年7月,12634
category90,2022年7月,12181
category251,2022年7月,12106
category176,2022年7月,12051
category34,2022年7月,11827
category123,2022年7月,11388
category22,2022年7月,11318
category19,2022年7月,10984
category272,2022年7月,10648
category178,2022年7月,10379
category64,2022年7月,10308
category74,2022年7月,10122
category182,2022年7月,9706
category53,2022年7月,9668
category18,2022年7月,9136
category180,2022年7月,8924
category110,2022年7月,8666
category311,2022年7月,8478
category158,2022年7月,8225
category201,2022年7月,7994
category218,2022年7月,7760
category172,2022年7月,7550
category75,2022年7月,7400
category111,2022年7月,7373
category144,2022年7月,7237
category189,2022年7月,7176
category204,2022年7月,7128
category76,2022年7月,6917
category1,2022年7月,6917
category246,2022年7月,6791
category305,2022年7月,6747
category306,2022年7月,6600
category5,2022年7月,6565
category222,2022年7月,6300
category290,2022年7月,6237
category333,2022年7月,6002
category150,2022年7月,5975
category120,2022年7月,5813
category224,2022年7月,5716
category168,2022年7月,5556
category277,2022年7月,5503
category4,2022年7月,5326
category132,2022年7月,5317
category186,2022年7月,5313
category67,2022年7月,5163
category177,2022年7月,4938
category320,2022年7月,4781
category125,2022年7月,4714
category229,2022年7月,4652
category188,2022年7月,4631
category230,2022年7月,4563
category270,2022年7月,4548
category147,2022年7月,4511
category231,2022年7月,4410
category101,2022年7月,4117
category347,2022年7月,3992
category264,2022年7月,3957
category302,2022年7月,3901
category98,2022年7月,3868
category14,2022年7月,3644
category340,2022年7月,3642
category117,2022年7月,3600
category112,2022年7月,3512
category155,2022年7月,3459
category139,2022年7月,3333
category289,2022年7月,3207
category39,2022年7月,3021
category312,2022年7月,2980
category99,2022年7月,2682
category278,2022年7月,2592
category23,2022年7月,2567
category301,2022年7月,2489
category202,2022年7月,2483
category175,2022年7月,2445
category59,2022年7月,2439
category162,2022年7月,2419
category335,2022年7月,2398
category106,2022年7月,2354
category92,2022年7月,2337
category129,2022年7月,2299
category113,2022年7月,2210
category96,2022年7月,2178
category81,2022年7月,2043
category145,2022年7月,2021
category341,2022年7月,2006
category3,2022年7月,1917
category68,2022年7月,1873
category217,2022年7月,1854
category298,2022年7月,1676
category69,2022年7月,1664
category220,2022年7月,1630
category126,2022年7月,1603
category11,2022年7月,1544
category310,2022年7月,1440
category66,2022年7月,1423
category349,2022年7月,1406
category206,2022年7月,1403
category134,2022年7月,1372
category342,2022年7月,1364
category234,2022年7月,1323
category327,2022年7月,1308
category57,2022年7月,1146
category304,2022年7月,1032
category235,2022年7月,985
category133,2022年7月,978
category255,2022年7月,903
category314,2022年7月,883
category350,2022年7月,837
category142,2022年7月,786
category119,2022年7月,752
category269,2022年7月,745
category199,2022年7月,707
category179,2022年7月,638
category10,2022年7月,632
category309,2022年7月,521
category244,2022年7月,519
category149,2022年7月,497
category24,2022年7月,396
category71,2022年7月,375
category6,2022年7月,372
category131,2022年7月,355
category317,2022年7月,313
category9,2022年7月,294
category343,2022年7月,269
category181,2022年7月,241
category338,2022年7月,237
category330,2022年7月,235
category265,2022年7月,234
category31,2022年7月,230
category36,2022年7月,199
category219,2022年7月,190
category193,2022年7月,187
category37,2022年7月,177
category221,2022年7月,171
category41,2022年7月,158
category334,2022年7月,152
category170,2022年7月,133
category294,2022年7月,122
category315,2022年7月,115
category319,2022年7月,110
category207,2022年7月,106
category115,2022年7月,90
category260,2022年7月,89
category337,2022年7月,88
category291,2022年7月,84
category83,2022年7月,78
category55,2022年7月,75
category216,2022年7月,67
category187,2022年7月,58
category348,2022年7月,57
category54,2022年7月,56
category328,2022年7月,55
category339,2022年7月,54
category332,2022年7月,47
category82,2022年7月,44
category331,2022年7月,43
category288,2022年7月,40
category344,2022年7月,38
category249,2022年7月,35
category212,2022年7月,33
category52,2022年7月,31
category159,2022年7月,25
category7,2022年7月,21
category346,2022年7月,20
category167,2022年7月,16
category192,2022年7月,10
category50,2022年7月,9
category213,2022年7月,9
category345,2022年7月,8
category274,2022年7月,6
category326,2022年7月,3
category210,2022年7月,1
category329,2022年7月,1
category336,2022年7月,1
category225,2022年8月,2799741
category84,2022年8月,2505403
category42,2022年8月,2436194
category141,2022年8月,1829109
category209,2022年8月,1778521
category21,2022年8月,1770288
category254,2022年8月,1592938
category153,2022年8月,894672
category20,2022年8月,739007
category65,2022年8月,679229
category2,2022年8月,652796
category276,2022年8月,607660
category40,2022年8月,603528
category279,2022年8月,560681
category164,2022年8月,550120
category197,2022年8月,531919
category60,2022年8月,521049
category87,2022年8月,511187
category308,2022年8月,484947
category102,2022年8月,435750
category130,2022年8月,416780
category259,2022年8月,405451
category323,2022年8月,393048
category243,2022年8月,391572
category237,2022年8月,358127
category109,2022年8月,336152
category95,2022年8月,321081
category32,2022年8月,291714
category30,2022年8月,285997
category263,2022年8月,278003
category280,2022年8月,262743
category48,2022年8月,257524
category299,2022年8月,247074
category166,2022年8月,240210
category86,2022年8月,239654
category313,2022年8月,237956
category283,2022年8月,233010
category245,2022年8月,229136
category61,2022年8月,226270
category223,2022年8月,212538
category79,2022年8月,203037
category128,2022年8月,202947
category15,2022年8月,192157
category77,2022年8月,189439
category183,2022年8月,188343
category262,2022年8月,186694
category266,2022年8月,183088
category242,2022年8月,181305
category282,2022年8月,171845
category195,2022年8月,170087
category200,2022年8月,159664
category286,2022年8月,158370
category104,2022年8月,157210
category185,2022年8月,157130
category137,2022年8月,156538
category29,2022年8月,155891
category240,2022年8月,152331
category203,2022年8月,151166
category44,2022年8月,148643
category161,2022年8月,141869
category191,2022年8月,137524
category303,2022年8月,134473
category63,2022年8月,129877
category89,2022年8月,128126
category325,2022年8月,125760
category151,2022年8月,125365
category58,2022年8月,124032
category247,2022年8月,122586
category316,2022年8月,119948
category72,2022年8月,119764
category47,2022年8月,118389
category250,2022年8月,116448
category190,2022年8月,114373
category17,2022年8月,104109
category12,2022年8月,103022
category198,2022年8月,102001
category35,2022年8月,101755
category196,2022年8月,99864
category136,2022年8月,98233
category93,2022年8月,95276
category248,2022年8月,95012
category205,2022年8月,91575
category16,2022年8月,91087
category285,2022年8月,90685
category135,2022年8月,89804
category267,2022年8月,88795
category62,2022年8月,84561
category287,2022年8月,83704
category188,2022年8月,83565
category253,2022年8月,83440
category97,2022年8月,81525
category160,2022年8月,78544
category232,2022年8月,76360
category293,2022年8月,76343
category236,2022年8月,74316
category80,2022年8月,74162
category297,2022年8月,74091
category103,2022年8月,73649
category124,2022年8月,73347
category73,2022年8月,71652
category154,2022年8月,70248
category107,2022年8月,70085
category51,2022年8月,69388
category56,2022年8月,67850
category121,2022年8月,67684
category307,2022年8月,65888
category226,2022年8月,65736
category46,2022年8月,65318
category273,2022年8月,65172
category165,2022年8月,63324
category45,2022年8月,62383
category143,2022年8月,62180
category28,2022年8月,58658
category192,2022年8月,56937
category138,2022年8月,55833
category184,2022年8月,55320
category208,2022年8月,53135
category33,2022年8月,52197
category321,2022年8月,51767
category169,2022年8月,51345
category146,2022年8月,50717
category322,2022年8月,50244
category173,2022年8月,47854
category275,2022年8月,46068
category122,2022年8月,45850
category281,2022年8月,44442
category171,2022年8月,43655
category152,2022年8月,43325
category324,2022年8月,43270
category241,2022年8月,43076
category85,2022年8月,42872
category182,2022年8月,39984
category8,2022年8月,39916
category296,2022年8月,37985
category24,2022年8月,37513
category13,2022年8月,35913
category27,2022年8月,34423
category194,2022年8月,33464
category318,2022年8月,32673
category256,2022年8月,32170
category233,2022年8月,31253
category258,2022年8月,31144
category49,2022年8月,30627
category43,2022年8月,30324
category38,2022年8月,30311
category140,2022年8月,30062
category26,2022年8月,29835
category105,2022年8月,29613
category239,2022年8月,29596
category88,2022年8月,29230
category295,2022年8月,29009
category71,2022年8月,28090
category114,2022年8月,27441
category163,2022年8月,27258
category215,2022年8月,26837
category252,2022年8月,23714
category118,2022年8月,21548
category70,2022年8月,21106
category268,2022年8月,20217
category94,2022年8月,18966
category311,2022年8月,18514
category157,2022年8月,18507
category300,2022年8月,18482
category261,2022年8月,17901
category257,2022年8月,17403
category108,2022年8月,17122
category227,2022年8月,16173
category214,2022年8月,14961
category78,2022年8月,14863
category156,2022年8月,14766
category91,2022年8月,14671
category238,2022年8月,14634
category127,2022年8月,14331
category271,2022年8月,14279
category228,2022年8月,14152
category64,2022年8月,13236
category176,2022年8月,13152
category25,2022年8月,12989
category90,2022年8月,12431
category178,2022年8月,12086
category174,2022年8月,11871
category123,2022年8月,11864
category110,2022年8月,11590
category100,2022年8月,11365
category229,2022年8月,10959
category272,2022年8月,10831
category22,2022年8月,10715
category211,2022年8月,10182
category76,2022年8月,9813
category34,2022年8月,9744
category251,2022年8月,9183
category284,2022年8月,8793
category116,2022年8月,8246
category18,2022年8月,8180
category75,2022年8月,8137
category74,2022年8月,7771
category292,2022年8月,7442
category158,2022年8月,7247
category218,2022年8月,7061
category189,2022年8月,7000
category129,2022年8月,6984
category246,2022年8月,6849
category201,2022年8月,6732
category277,2022年8月,6498
category1,2022年8月,6263
category305,2022年8月,6099
category5,2022年8月,6094
category333,2022年8月,6002
category224,2022年8月,5877
category222,2022年8月,5793
category53,2022年8月,5722
category204,2022年8月,5714
category120,2022年8月,5636
category172,2022年8月,5458
category264,2022年8月,5434
category4,2022年8月,5338
category111,2022年8月,5146
category125,2022年8月,4994
category67,2022年8月,4965
category186,2022年8月,4895
category168,2022年8月,4844
category144,2022年8月,4801
category306,2022年8月,4745
category340,2022年8月,4697
category290,2022年8月,4499
category14,2022年8月,4450
category231,2022年8月,4422
category3,2022年8月,4399
category147,2022年8月,4290
category230,2022年8月,4281
category180,2022年8月,4193
category177,2022年8月,4175
category150,2022年8月,4111
category98,2022年8月,4079
category132,2022年8月,4066
category320,2022年8月,3905
category155,2022年8月,3845
category117,2022年8月,3827
category81,2022年8月,3474
category302,2022年8月,3317
category139,2022年8月,3315
category23,2022年8月,3302
category270,2022年8月,3222
category112,2022年8月,3104
category101,2022年8月,3064
category39,2022年8月,3053
category19,2022年8月,2861
category347,2022年8月,2748
category289,2022年8月,2576
category312,2022年8月,2508
category278,2022年8月,2500
category99,2022年8月,2424
category148,2022年8月,2395
category11,2022年8月,2305
category301,2022年8月,2190
category113,2022年8月,2188
category96,2022年8月,2168
category92,2022年8月,2054
category220,2022年8月,2045
category175,2022年8月,1853
category346,2022年8月,1844
category126,2022年8月,1701
category298,2022年8月,1657
category217,2022年8月,1629
category350,2022年8月,1613
category335,2022年8月,1558
category162,2022年8月,1479
category68,2022年8月,1468
category69,2022年8月,1424
category310,2022年8月,1413
category202,2022年8月,1399
category179,2022年8月,1372
category145,2022年8月,1370
category314,2022年8月,1366
category134,2022年8月,1354
category341,2022年8月,1347
category106,2022年8月,1315
category59,2022年8月,1289
category349,2022年8月,1227
category66,2022年8月,1205
category206,2022年8月,1168
category133,2022年8月,1163
category234,2022年8月,994
category57,2022年8月,896
category327,2022年8月,891
category265,2022年8月,855
category235,2022年8月,846
category199,2022年8月,773
category269,2022年8月,761
category187,2022年8月,740
category142,2022年8月,679
category331,2022年8月,609
category119,2022年8月,608
category342,2022年8月,560
category255,2022年8月,511
category10,2022年8月,510
category244,2022年8月,505
category329,2022年8月,499
category319,2022年8月,468
category50,2022年8月,464
category304,2022年8月,443
category149,2022年8月,413
category52,2022年8月,412
category6,2022年8月,337
category9,2022年8月,317
category338,2022年8月,296
category317,2022年8月,289
category181,2022年8月,274
category343,2022年8月,266
category31,2022年8月,224
category330,2022年8月,206
category221,2022年8月,198
category193,2022年8月,196
category131,2022年8月,195
category55,2022年8月,182
category213,2022年8月,182
category41,2022年8月,181
category219,2022年8月,178
category37,2022年8月,172
category36,2022年8月,160
category309,2022年8月,156
category170,2022年8月,115
category291,2022年8月,108
category115,2022年8月,106
category334,2022年8月,91
category82,2022年8月,85
category288,2022年8月,75
category294,2022年8月,72
category326,2022年8月,64
category216,2022年8月,61
category348,2022年8月,57
category54,2022年8月,57
category344,2022年8月,55
category260,2022年8月,55
category337,2022年8月,54
category328,2022年8月,52
category339,2022年8月,50
category332,2022年8月,47
category83,2022年8月,40
category249,2022年8月,36
category315,2022年8月,30
category159,2022年8月,25
category212,2022年8月,24
category207,2022年8月,22
category274,2022年8月,18
category7,2022年8月,17
category167,2022年8月,16
category345,2022年8月,7
category210,2022年8月,1
category336,2022年8月,1
category42,2022年9月,2467824
category225,2022年9月,2448966
category84,2022年9月,2136638
category141,2022年9月,2036315
category21,2022年9月,1847483
category209,2022年9月,1601044
category254,2022年9月,1595692
category137,2022年9月,748353
category20,2022年9月,637292
category65,2022年9月,611954
category276,2022年9月,610063
category40,2022年9月,571117
category2,2022年9月,564418
category308,2022年9月,557901
category279,2022年9月,534198
category79,2022年9月,522950
category153,2022年9月,493190
category164,2022年9月,472104
category197,2022年9月,471573
category102,2022年9月,427502
category87,2022年9月,415760
category60,2022年9月,382527
category130,2022年9月,369601
category259,2022年9月,350105
category109,2022年9月,322865
category243,2022年9月,317793
category30,2022年9月,292506
category95,2022年9月,277628
category32,2022年9月,260469
category263,2022年9月,259403
category323,2022年9月,254461
category237,2022年9月,254400
category48,2022年9月,248771
category299,2022年9月,245248
category283,2022年9月,239658
category86,2022年9月,231655
category245,2022年9月,227127
category280,2022年9月,220331
category242,2022年9月,216790
category61,2022年9月,209476
category166,2022年9月,206928
category15,2022年9月,205495
category128,2022年9月,200200
category182,2022年9月,195249
category262,2022年9月,178344
category223,2022年9月,173045
category183,2022年9月,170529
category104,2022年9月,160584
category200,2022年9月,160125
category77,2022年9月,154353
category195,2022年9月,153263
category286,2022年9月,150093
category313,2022年9月,146078
category282,2022年9月,144640
category240,2022年9月,141368
category188,2022年9月,138858
category203,2022年9月,138783
category89,2022年9月,135744
category29,2022年9月,135354
category151,2022年9月,133537
category63,2022年9月,130409
category191,2022年9月,127152
category12,2022年9月,125522
category250,2022年9月,124691
category58,2022年9月,123616
category185,2022年9月,119883
category17,2022年9月,115388
category316,2022年9月,115173
category247,2022年9月,113367
category325,2022年9月,111572
category285,2022年9月,110799
category47,2022年9月,110456
category161,2022年9月,108428
category72,2022年9月,107509
category198,2022年9月,104400
category44,2022年9月,94166
category136,2022年9月,93988
category248,2022年9月,93614
category154,2022年9月,90082
category16,2022年9月,87679
category267,2022年9月,87081
category135,2022年9月,84333
category35,2022年9月,84009
category253,2022年9月,83729
category266,2022年9月,83669
category190,2022年9月,82010
category93,2022年9月,80304
category121,2022年9月,78193
category196,2022年9月,78094
category97,2022年9月,78034
category236,2022年9月,77743
category287,2022年9月,77213
category171,2022年9月,77045
category103,2022年9月,74250
category124,2022年9月,72500
category24,2022年9月,72347
category192,2022年9月,71164
category62,2022年9月,70566
category232,2022年9月,69558
category160,2022年9月,69363
category73,2022年9月,69031
category273,2022年9月,67482
category80,2022年9月,66330
category165,2022年9月,66243
category297,2022年9月,66134
category107,2022年9月,65821
category303,2022年9月,64923
category46,2022年9月,61245
category226,2022年9月,61026
category56,2022年9月,59876
category293,2022年9月,59758
category45,2022年9月,59677
category281,2022年9月,59615
category307,2022年9月,54014
category184,2022年9月,53549
category321,2022年9月,53505
category143,2022年9月,53145
category138,2022年9月,51387
category208,2022年9月,49346
category322,2022年9月,48794
category33,2022年9月,47020
category122,2022年9月,46530
category51,2022年9月,45600
category152,2022年9月,44576
category88,2022年9月,44328
category173,2022年9月,43104
category28,2022年9月,42848
category85,2022年9月,42684
category8,2022年9月,41850
category275,2022年9月,41304
category233,2022年9月,39760
category169,2022年9月,39466
category324,2022年9月,39368
category71,2022年9月,37163
category296,2022年9月,36359
category13,2022年9月,35288
category146,2022年9月,33850
category241,2022年9月,33690
category27,2022年9月,32780
category205,2022年9月,31673
category26,2022年9月,31052
category38,2022年9月,29483
category258,2022年9月,28724
category295,2022年9月,28124
category256,2022年9月,27765
category163,2022年9月,26929
category114,2022年9月,26500
category140,2022年9月,26174
category43,2022年9月,25861
category105,2022年9月,25826
category239,2022年9月,23770
category194,2022年9月,23455
category49,2022年9月,23121
category318,2022年9月,22987
category215,2022年9月,22787
category118,2022年9月,20892
category268,2022年9月,19966
category94,2022年9月,18886
category70,2022年9月,18148
category261,2022年9月,17552
category108,2022年9月,15557
category252,2022年9月,15553
category257,2022年9月,15497
category228,2022年9月,14966
category157,2022年9月,14888
category214,2022年9月,14491
category300,2022年9月,14484
category238,2022年9月,14333
category91,2022年9月,14304
category176,2022年9月,13905
category156,2022年9月,13632
category25,2022年9月,13064
category271,2022年9月,12875
category227,2022年9月,12812
category123,2022年9月,12440
category64,2022年9月,11941
category78,2022年9月,11941
category229,2022年9月,11805
category90,2022年9月,11671
category110,2022年9月,11550
category178,2022年9月,11364
category100,2022年9月,11342
category311,2022年9月,11191
category284,2022年9月,10854
category272,2022年9月,10814
category66,2022年9月,10738
category127,2022年9月,10734
category129,2022年9月,10224
category22,2022年9月,10033
category305,2022年9月,9346
category174,2022年9月,9250
category76,2022年9月,9201
category211,2022年9月,8759
category116,2022年9月,8746
category246,2022年9月,8151
category264,2022年9月,8124
category52,2022年9月,7528
category18,2022年9月,7140
category34,2022年9月,6949
category201,2022年9月,6808
category158,2022年9月,6776
category189,2022年9月,6542
category231,2022年9月,6490
category251,2022年9月,6179
category75,2022年9月,6087
category333,2022年9月,6002
category218,2022年9月,5978
category172,2022年9月,5938
category5,2022年9月,5882
category74,2022年9月,5817
category222,2022年9月,5757
category1,2022年9月,5705
category186,2022年9月,5643
category277,2022年9月,5532
category14,2022年9月,5339
category204,2022年9月,5236
category320,2022年9月,5181
category177,2022年9月,4930
category4,2022年9月,4896
category224,2022年9月,4881
category340,2022年9月,4795
category292,2022年9月,4703
category111,2022年9月,4609
category125,2022年9月,4561
category120,2022年9月,4524
category147,2022年9月,4484
category347,2022年9月,4427
category168,2022年9月,4324
category19,2022年9月,4311
category155,2022年9月,4194
category306,2022年9月,4136
category270,2022年9月,4007
category112,2022年9月,3904
category3,2022年9月,3876
category117,2022年9月,3834
category290,2022年9月,3782
category144,2022年9月,3710
category53,2022年9月,3694
category150,2022年9月,3694
category67,2022年9月,3653
category99,2022年9月,3604
category132,2022年9月,3557
category187,2022年9月,3519
category230,2022年9月,3328
category92,2022年9月,3278
category312,2022年9月,3271
category23,2022年9月,3238
category148,2022年9月,3184
category301,2022年9月,3139
category98,2022年9月,2920
category302,2022年9月,2915
category278,2022年9月,2709
category39,2022年9月,2510
category101,2022年9月,2333
category179,2022年9月,2331
category113,2022年9月,2205
category180,2022年9月,2151
category81,2022年9月,2107
category220,2022年9月,2040
category289,2022年9月,1949
category298,2022年9月,1869
category341,2022年9月,1626
category139,2022年9月,1612
category126,2022年9月,1600
category175,2022年9月,1582
category133,2022年9月,1527
category346,2022年9月,1471
category96,2022年9月,1445
category217,2022年9月,1416
category310,2022年9月,1406
category106,2022年9月,1370
category134,2022年9月,1352
category68,2022年9月,1334
category11,2022年9月,1261
category335,2022年9月,1250
category59,2022年9月,1179
category69,2022年9月,1173
category314,2022年9月,1045
category162,2022年9月,985
category349,2022年9月,959
category202,2022年9月,928
category235,2022年9月,904
category206,2022年9月,827
category331,2022年9月,812
category234,2022年9月,780
category57,2022年9月,726
category265,2022年9月,721
category199,2022年9月,720
category142,2022年9月,621
category119,2022年9月,598
category269,2022年9月,562
category319,2022年9月,509
category10,2022年9月,500
category329,2022年9月,493
category145,2022年9月,491
category244,2022年9月,489
category50,2022年9月,467
category327,2022年9月,416
category149,2022年9月,414
category342,2022年9月,379
category304,2022年9月,361
category181,2022年9月,355
category255,2022年9月,315
category350,2022年9月,308
category317,2022年9月,303
category6,2022年9月,246
category193,2022年9月,231
category338,2022年9月,230
category55,2022年9月,187
category343,2022年9月,183
category330,2022年9月,182
category219,2022年9月,180
category31,2022年9月,172
category37,2022年9月,168
category9,2022年9月,166
category213,2022年9月,160
category291,2022年9月,144
category115,2022年9月,136
category131,2022年9月,135
category309,2022年9月,129
category36,2022年9月,125
category221,2022年9月,124
category334,2022年9月,116
category83,2022年9月,92
category315,2022年9月,68
category260,2022年9月,65
category216,2022年9月,63
category328,2022年9月,63
category41,2022年9月,62
category294,2022年9月,59
category54,2022年9月,58
category82,2022年9月,58
category167,2022年9月,50
category339,2022年9月,49
category332,2022年9月,47
category212,2022年9月,37
category249,2022年9月,36
category344,2022年9月,33
category337,2022年9月,29
category348,2022年9月,29
category159,2022年9月,25
category210,2022年9月,24
category170,2022年9月,23
category274,2022年9月,19
category7,2022年9月,17
category288,2022年9月,17
category326,2022年9月,13
category345,2022年9月,11
category207,2022年9月,8
category336,2022年9月,1
category84,2023年1月,4421974
category21,2023年1月,4411095
category225,2023年1月,2966388
category42,2023年1月,2354761
category141,2023年1月,2260125
category254,2023年1月,1975639
category209,2023年1月,1326066
category137,2023年1月,1052907
category153,2023年1月,1035659
category20,2023年1月,860071
category276,2023年1月,842452
category2,2023年1月,790470
category40,2023年1月,716685
category87,2023年1月,707225
category102,2023年1月,705287
category197,2023年1月,657185
category65,2023年1月,628789
category164,2023年1月,578676
category308,2023年1月,565508
category60,2023年1月,565141
category130,2023年1月,559657
category279,2023年1月,554013
category192,2023年1月,523527
category243,2023年1月,460670
category245,2023年1月,418786
category280,2023年1月,392383
category263,2023年1月,374880
category109,2023年1月,362790
category30,2023年1月,357478
category259,2023年1月,340409
category242,2023年1月,336827
category166,2023年1月,332269
category48,2023年1月,326039
category86,2023年1月,291205
category95,2023年1月,288834
category200,2023年1月,269140
category299,2023年1月,268685
category313,2023年1月,264710
category237,2023年1月,262182
category61,2023年1月,257595
category283,2023年1月,228895
category32,2023年1月,226324
category195,2023年1月,225988
category128,2023年1月,225432
category15,2023年1月,215329
category63,2023年1月,212031
category77,2023年1月,203882
category104,2023年1月,202662
category303,2023年1月,202365
category12,2023年1月,198869
category282,2023年1月,184159
category185,2023年1月,183874
category262,2023年1月,179897
category188,2023年1月,174329
category266,2023年1月,173217
category223,2023年1月,163511
category186,2023年1月,163045
category161,2023年1月,162054
category250,2023年1月,160677
category191,2023年1月,152640
category286,2023年1月,152583
category203,2023年1月,152318
category58,2023年1月,149218
category325,2023年1月,145123
category17,2023年1月,142357
category240,2023年1月,140398
category285,2023年1月,139308
category97,2023年1月,135562
category47,2023年1月,133409
category198,2023年1月,132092
category44,2023年1月,130768
category29,2023年1月,126317
category316,2023年1月,124716
category151,2023年1月,124577
category89,2023年1月,122916
category190,2023年1月,119339
category247,2023年1月,117860
category56,2023年1月,110434
category124,2023年1月,109017
category93,2023年1月,108908
category62,2023年1月,108843
category171,2023年1月,106269
category129,2023年1月,103809
category273,2023年1月,101029
category160,2023年1月,98867
category35,2023年1月,98321
category16,2023年1月,97513
category135,2023年1月,92026
category154,2023年1月,91426
category72,2023年1月,88864
category196,2023年1月,88807
category236,2023年1月,88647
category253,2023年1月,86133
category248,2023年1月,85152
category51,2023年1月,83902
category169,2023年1月,83492
category103,2023年1月,82848
category275,2023年1月,82794
category232,2023年1月,82450
category267,2023年1月,81740
category24,2023年1月,79698
category241,2023年1月,78239
category226,2023年1月,77611
category152,2023年1月,77007
category80,2023年1月,76532
category143,2023年1月,73511
category121,2023年1月,73107
category71,2023年1月,70576
category297,2023年1月,70138
category107,2023年1月,69639
category165,2023年1月,69362
category146,2023年1月,69327
category307,2023年1月,69204
category45,2023年1月,65606
category321,2023年1月,64799
category73,2023年1月,63935
category136,2023年1月,62791
category208,2023年1月,62390
category184,2023年1月,62291
category122,2023年1月,61581
category173,2023年1月,60214
category233,2023年1月,59219
category46,2023年1月,58723
category138,2023年1月,58290
category33,2023年1月,58267
category281,2023年1月,57756
category322,2023年1月,56404
category293,2023年1月,55898
category26,2023年1月,52143
category79,2023年1月,49584
