品类1,品类2,关联度
66,97,12
66,102,28
66,130,283
66,132,1029
66,151,13
66,153,14
66,164,96
66,166,150
66,183,91
66,188,16
66,190,126
66,195,19
66,196,16
66,198,90
66,223,15
66,225,82
66,226,61
66,242,899
66,243,444
66,245,57
66,250,11
66,254,1069
66,266,13
66,273,19
66,276,57
66,279,54
66,283,13
66,285,29
66,308,384
66,312,33708
66,325,16
69,28,45
70,60,109
70,86,59
70,106,103
70,173,70
70,195,122
70,226,160
70,279,20
71,153,13
71,190,15
71,200,12
71,226,19
71,285,11
72,2,350
72,20,865
72,21,398
72,40,375
72,48,75
72,58,27
72,60,43
72,65,397
72,84,635
72,87,556
72,89,208
72,93,14
72,97,173
72,102,326
72,110,263
72,122,12
72,130,134
72,153,127
72,154,46
72,164,721
72,183,185
72,190,18
72,194,11
72,195,22
72,196,11
72,197,46
72,200,40
72,226,57
72,233,11
72,239,31
72,242,28
72,243,192
72,245,33
72,254,570
72,263,54
72,266,17
72,273,22
72,279,114
72,281,26
72,283,227
72,285,55
72,308,900
72,325,17
74,253,95
75,28,255
76,60,14
76,92,508
76,216,42
76,220,43
79,2,138
79,5,42
79,20,142
79,40,152
79,44,80
79,56,41
79,58,63
79,60,43
79,65,238
79,71,54
79,87,43
79,89,12
79,97,18
79,102,119
79,118,13
79,130,196
79,153,24
79,183,102
79,195,11
79,196,13
79,226,50
79,227,11
79,243,703
79,252,34
79,263,17
79,266,17
79,273,48
79,279,58
79,280,148
79,285,69
79,308,568
79,325,15
84,2,6031
84,5,31
84,8,33
84,14,50
84,20,8160
84,24,217
84,30,1171
84,34,79
84,39,60
84,40,5559
84,44,45
84,49,297
84,51,22
84,56,253
84,58,1960
84,59,124
84,60,1685
84,63,128
84,65,9058
84,70,13
84,71,694
84,74,12
84,76,16
84,78,12
84,79,11306
84,86,242
84,87,1037
84,88,39
84,89,453
84,94,181
84,97,1086
84,99,12
84,100,21
84,102,8202
84,108,69
84,110,11
84,118,108
84,123,19
84,130,10670
84,151,692
84,153,1196
84,155,34
84,156,22
84,158,68
84,160,1808
84,165,176
84,169,159
84,173,12
84,177,17
84,183,5209
84,184,803
84,185,216
84,188,614
84,190,2419
84,191,87
84,194,131
84,195,542
84,196,478
84,200,1240
84,201,30
84,202,15
84,215,59
84,218,18
84,226,2499
84,227,63
84,228,62
84,229,97
84,233,208
84,236,141
84,238,14
84,239,303
84,243,10819
84,248,273
84,252,181
84,253,134
84,254,59906
84,255,471
84,257,16
84,258,207
84,261,21
84,263,633
84,264,15
84,266,749
84,268,44
84,270,16
84,273,689
84,275,1000
84,279,1976
84,280,3962
84,281,153
84,284,53
84,285,1572
84,290,27
84,300,134
84,303,12
84,307,35
84,308,19215
84,311,39
84,325,2425
84,330,83
84,331,31
86,44,224
86,60,6627
86,127,31
86,153,30
86,165,167
86,173,125
86,188,12
86,191,61
86,196,22
86,253,87
86,266,30
86,272,56
86,279,2240
86,307,4768
87,2,356
87,20,749
87,24,36
87,30,83
87,40,256
87,56,14
87,58,44
87,60,354
87,63,22
87,65,439
87,78,11
87,86,62
87,88,95
87,89,389
87,97,185
87,100,15
87,108,24
87,110,12
87,111,241
87,123,53
87,151,15
87,153,164
87,156,21
87,160,38
87,165,16
87,169,23
87,176,19
87,184,121
87,188,242
87,190,111
87,194,221
87,195,155
87,196,40
87,200,292
87,215,15
87,226,232
87,227,50
87,228,21
87,236,39
87,239,30
87,248,98
87,252,85
87,253,65
87,257,11
87,263,835
87,266,199
87,270,85
87,271,13
87,273,108
87,275,35
87,279,492
87,280,103
87,281,85
87,285,27
87,289,22
87,303,75
87,325,177
87,331,16
88,28,26
88,153,11
88,195,350
88,200,14
88,226,14
88,248,13
88,263,363
88,273,28
89,30,23
89,56,50
89,58,23
89,59,27
89,60,460
89,86,200
89,88,11
89,151,13
89,153,109
89,158,20
89,165,26
89,188,16
89,190,60
89,195,100
89,200,136
89,226,110
89,233,11
89,236,20
89,252,90
89,263,22
89,266,12
89,270,42
89,273,101
89,279,466
89,280,97
89,281,74
89,285,19
89,325,19
89,331,23
92,273,11
93,2,41
93,20,27
93,21,133
93,30,15
93,40,40
93,48,29
93,49,89
93,60,109
93,65,48
93,84,206
93,87,25
93,89,16
93,102,22
93,120,58
93,122,259
93,130,11
93,143,1676
93,153,25
93,164,96
93,183,34
93,195,97
93,200,21
93,203,13
93,226,34
93,242,13
93,243,81
93,248,65
93,254,194
93,263,21
93,273,28
93,279,47
93,282,162
93,308,128
94,58,99
94,151,177
94,258,255
94,285,68
97,20,764
97,40,321
97,58,95
97,60,32
97,65,714
97,71,11
97,86,11
97,89,39
97,151,11
97,153,68
97,188,14
97,195,27
97,196,38
97,200,15
97,226,84
97,239,26
97,263,180
97,266,51
97,273,12
97,275,12
97,279,140
97,285,103
97,325,12
99,273,26
100,78,49
100,127,36
102,2,1440
102,20,2426
102,24,158
102,30,425
102,40,1326
102,56,40
102,58,374
102,60,918
102,63,89
102,65,2156
102,86,65
102,87,759
102,89,337
102,97,209
102,100,11
102,108,71
102,118,49
102,130,7555
102,151,254
102,153,607
102,160,267
102,169,11
102,183,1778
102,184,299
102,185,115
102,188,502
102,190,395
102,191,12
102,194,87
102,195,125
102,196,584
102,200,296
102,226,847
102,228,127
102,233,11
102,236,25
102,239,41
102,243,3817
102,253,44
102,257,11
102,258,13
102,263,114
102,266,316
102,271,28
102,273,159
102,275,202
102,279,518
102,280,229
102,285,398
102,300,360
102,325,717
103,2,32
103,15,375
103,17,13
103,21,32
103,26,18
103,35,224
103,40,36
103,48,11
103,62,134
103,65,39
103,84,99
103,87,42
103,89,28
103,104,28
103,152,248
103,153,11
103,164,39
103,183,32
103,225,103
103,226,12
103,254,46
103,276,626
103,283,46
103,308,74
104,2,128
104,15,1121
104,17,3277
104,20,102
104,21,225
104,26,664
104,35,36
104,40,21
104,48,348
104,58,11
104,60,16
104,62,653
104,65,175
104,79,14
104,84,309
104,87,784
104,89,43
104,97,18
104,102,30
104,122,48
104,130,13
104,152,1613
104,153,43
104,164,37
104,176,12
104,183,73
104,195,55
104,196,11
104,215,221
104,223,35
104,225,159
104,226,92
104,241,102
104,242,30
104,243,40
104,245,11
104,254,240
104,263,26
104,276,2609
104,279,183
104,281,66
104,283,79
104,285,15
104,308,190
106,173,49
106,195,2187
108,263,23
110,28,78
111,271,15
111,331,24
113,28,61
113,117,55
113,142,11
113,193,67
117,28,104
118,30,26
118,60,29
118,190,35
118,200,493
118,226,41
118,280,153
118,325,34
120,49,36
120,273,16
121,2,51
121,20,40
121,21,74
121,40,207
121,58,11
121,60,44
121,65,60
121,84,317
121,87,97
121,89,59
121,102,75
121,130,36
121,153,14
121,183,75
121,194,12
121,201,11
121,204,36
121,222,100
121,226,47
121,243,201
121,246,90
121,248,12
121,254,178
121,273,272
121,308,545
122,2,63
122,20,47
122,21,90
122,26,48
122,40,31
122,48,133
122,65,45
122,84,247
122,87,67
122,89,16
122,143,112
122,153,66
122,164,52
122,183,58
122,195,29
122,200,11
122,226,14
122,243,29
122,254,201
122,266,12
122,279,41
122,281,28
122,308,89
123,133,13
123,165,11
123,212,17
123,226,11
123,253,20
123,270,153
125,60,109
125,63,96
125,191,12
126,28,491
126,117,163
126,305,33
130,2,2573
130,20,4803
130,24,203
130,30,112
130,40,1641
130,49,11
130,56,45
130,58,495
130,60,469
130,63,40
130,65,2731
130,86,28
130,87,420
130,89,180
130,97,279
130,151,203
130,153,354
130,160,141
130,169,41
130,172,22
130,183,4091
130,184,78
130,185,36
130,188,489
130,190,90
130,194,150
130,195,60
130,196,468
130,200,106
130,226,666
130,233,11
130,236,13
130,239,126
130,252,18
130,253,69
130,261,12
130,263,30
130,266,237
130,273,178
130,275,43
130,279,381
130,280,102
130,285,428
130,300,534
130,311,17
130,325,238
131,229,13
132,2,253
132,5,19
132,15,14
132,20,352
132,21,7045
132,24,12
132,30,11
132,40,152
132,54,132
132,56,11
132,58,116
132,59,15
132,60,117
132,63,18
132,65,402
132,71,18
132,79,418
132,84,3571
132,87,46
132,89,18
132,97,46
132,102,209
132,104,22
132,130,392
132,146,13
132,151,22
132,153,50
132,164,282
132,166,71
132,169,12
132,183,289
132,188,54
132,190,24
132,191,15
132,194,12
132,195,39
132,196,55
132,200,58
132,203,11
132,223,36
132,225,205
132,226,185
132,236,12
132,239,13
132,241,21
132,242,184
132,243,626
132,245,85
132,250,74
132,252,22
132,253,11
132,254,4963
132,258,13
132,263,17
132,266,49
132,273,38
132,275,11
132,276,178
132,279,146
132,280,14
132,283,62
132,285,111
132,308,872
132,325,74
132,330,24
133,212,39
139,204,14
139,234,17
139,255,47
141,44,216
141,49,14
141,65,28
141,88,120
141,89,179
141,111,35
141,176,385
141,248,193
141,257,42
141,263,319
141,273,291
141,280,214
143,2,37
143,21,27
143,60,15
143,65,25
143,84,101
143,87,32
143,102,14
143,183,37
143,248,29
143,254,96
143,263,16
143,266,15
143,306,18
143,308,48
146,2,50
146,20,54
146,21,141
146,24,25
146,35,24
146,40,39
146,48,26
146,51,23
146,58,30
146,60,84
146,65,70
146,72,21
146,78,11
146,79,26
146,84,694
146,87,52
146,89,18
146,102,210
146,130,159
146,153,26
146,164,44
146,183,410
146,184,19
146,188,110
146,194,13
146,196,81
146,226,51
146,243,88
146,252,88
146,254,197
146,258,92
146,276,18
146,283,87
146,285,49
146,308,187
146,311,149
146,321,70
146,325,20
147,56,31
147,227,195
147,236,11
147,273,128
150,266,15
150,280,21
151,108,972
151,153,21
151,261,558
151,266,13
151,268,1057
151,279,40
152,2,46
152,15,95
152,17,384
152,20,14
152,21,49
152,26,404
152,40,81
152,48,656
152,62,2178
152,65,40
152,84,117
152,87,107
152,89,31
152,102,14
152,122,12
152,153,41
152,164,62
152,166,14
152,183,27
152,195,11
152,225,189
152,226,15
152,241,32
152,243,15
152,254,91
152,276,1833
152,281,74
152,283,85
152,287,13
152,308,71
153,24,17
153,44,43
153,188,39
153,279,222
153,303,22
154,2,161
154,20,198
154,21,368
154,40,835
154,58,16
154,60,27
154,65,241
154,84,320
154,87,66
154,89,530
154,102,125
154,121,629
154,130,70
154,151,14
154,153,91
154,183,61
154,195,12
154,226,17
154,239,11
154,243,349
154,254,354
154,273,35
154,279,35
154,280,14
154,285,21
154,308,863
155,14,12
155,56,64
155,233,42
155,236,58
155,273,344
156,188,20
157,60,45
157,195,103
157,226,7448
157,279,119
158,14,79
158,49,231
158,56,331
158,147,794
158,155,161
158,201,147
158,222,12
158,227,57
158,233,440
158,236,200
158,252,129
158,273,2493
158,284,71
158,290,36
158,301,73
160,30,99
160,58,12
160,60,26
160,153,18
160,184,101
160,190,341
160,200,18
160,226,49
160,275,31
160,280,380
161,141,50
161,192,33
161,273,134
162,21,33
162,38,15
162,84,164
162,146,43
164,2,3939
164,14,34
164,20,6264
164,21,5290
164,24,12
164,30,106
164,40,3546
164,49,504
164,56,405
164,58,466
164,60,450
164,63,13
164,65,10593
164,71,47
164,79,173
164,84,8937
164,86,37
164,87,843
164,88,11
164,89,528
164,94,14
164,97,381
164,102,3032
164,121,5469
164,130,3418
164,147,164
164,151,110
164,153,1199
164,154,2999
164,155,16
164,158,155
164,160,58
164,177,23
164,183,11235
164,184,95
164,185,36
164,188,133
164,190,132
164,194,80
164,195,238
164,196,86
164,200,622
164,201,28
164,204,135
164,218,46
164,222,562
164,226,913
164,227,139
164,233,487
164,236,281
164,239,304
164,242,399
164,243,6111
164,246,337
164,248,77
164,252,451
164,253,25
164,254,7563
164,257,13
164,258,12
164,263,445
164,266,313
164,269,2780
164,273,2025
164,275,64
164,279,848
164,280,136
164,281,65
164,284,32
164,285,350
164,300,20
164,301,11
164,303,30
164,308,17082
164,325,213
164,331,11
164,347,154
165,24,21
165,63,18
165,78,66
165,188,16
165,263,31
165,279,241
166,2,331
166,14,11
166,20,348
166,21,4380
166,30,13
166,40,504
166,49,212
166,56,139
166,58,82
166,60,19
166,65,628
166,79,79
166,84,5052
166,87,23
166,89,41
166,97,34
166,102,301
166,121,442
166,130,331
166,153,91
166,154,94
166,155,24
166,158,46
166,164,6244
166,177,36
166,183,265
166,184,11
166,194,14
166,200,32
166,201,32
166,203,3325
166,204,21
166,222,62
166,226,155
166,227,33
166,233,172
166,236,30
166,239,16
166,242,52
166,243,684
166,245,4997
166,252,130
166,254,3534
166,266,15
166,269,53
166,273,806
166,279,53
166,280,12
166,285,65
166,308,1293
166,325,45
166,347,4099
169,24,37
169,63,14
169,165,24
169,188,33
169,196,1053
169,253,67
169,279,24
171,2,84
171,20,1580
171,21,11
171,40,21
171,65,33
171,84,38
171,87,15
171,164,48
171,183,13
171,254,30
171,283,15
171,308,45
172,63,11
172,188,119
172,194,500
172,266,49
173,137,192
173,279,16
175,146,14
176,56,51
176,89,371
176,195,11
176,279,53
177,14,28
177,49,63
177,56,79
177,155,114
177,158,58
177,201,42
177,227,26
177,233,38
177,236,50
177,252,37
177,273,330
177,290,11
178,78,40
178,127,167
181,273,11
183,2,1534
183,14,20
183,20,3584
183,24,125
183,30,73
183,40,1071
183,49,51
183,56,41
183,58,274
183,60,799
183,63,40
183,65,1993
183,71,26
183,86,72
183,87,460
183,89,195
183,97,190
183,118,12
183,151,170
183,153,295
183,158,14
183,160,31
183,165,51
183,169,26
183,184,75
183,185,72
183,188,194
183,190,84
183,191,28
183,194,54
183,195,157
183,196,197
183,200,224
183,215,17
183,226,639
183,227,17
183,233,58
183,236,25
183,239,65
183,248,85
183,252,44
183,253,86
183,258,13
183,263,208
183,266,311
183,268,14
183,271,12
183,273,109
183,275,45
183,279,590
183,280,96
183,281,46
183,285,231
183,300,54
183,325,199
183,331,18
184,30,546
184,60,60
184,153,29
184,188,18
184,190,232
184,200,135
184,226,79
184,266,28
184,280,244
185,60,636
185,86,31
185,153,43
185,173,4340
185,191,15
185,196,12
185,266,28
185,279,47
185,307,295
186,63,16
187,79,858
188,63,803
188,279,126
190,30,943
190,58,12
190,60,65
190,153,73
190,165,55
190,188,14
190,200,337
190,226,125
190,248,46
190,263,45
190,266,40
190,273,17
190,280,146
190,285,13
191,63,164
191,173,98
191,188,42
191,194,26
191,263,22
191,266,36
191,272,14
191,279,200
191,280,18
191,331,27
193,142,15
194,19,25
194,24,25
194,63,92
194,153,11
194,188,526
194,266,352
194,279,37
195,8,18
195,44,10263
195,58,94
195,60,3012
195,63,98
195,86,370
195,153,69
195,172,15
195,173,78
195,178,13
195,185,25
195,188,33
195,191,2813
195,196,13
195,226,3139
195,238,148
195,253,25
195,263,330
195,266,167
195,271,18
195,279,16045
195,280,46
195,285,36
195,293,251
195,307,515
195,331,20
196,24,114
196,58,17
196,63,16
196,151,13
196,153,48
196,165,165
196,188,45
196,253,495
196,263,11
196,266,29
196,279,319
196,285,18
197,20,37
197,171,57
198,2,13
198,5,54
198,21,105
198,54,100
198,79,39
198,84,326
198,132,580
198,183,12
198,254,527
198,308,15
198,312,189
198,325,62
200,30,344
200,56,32
200,58,11
200,60,180
200,86,14
200,153,130
200,195,120
200,226,162
200,227,28
200,248,12
200,263,184
200,266,121
200,273,83
200,279,330
200,280,453
200,285,28
201,14,29
201,56,185
201,155,124
201,226,45
201,227,31
201,233,58
201,236,91
201,273,894
201,301,30
202,139,49
202,291,11
203,2,177
203,20,244
203,21,487
203,30,260
203,40,360
203,49,41
203,56,44
203,58,26
203,60,49
203,65,331
203,79,11
203,84,1279
203,87,145
203,89,72
203,102,310
203,121,766
203,130,208
203,153,107
203,154,1077
203,158,13
203,160,153
203,164,8582
203,165,13
203,183,131
203,184,112
203,190,160
203,195,12
203,200,578
203,222,41
203,226,165
203,233,19
203,236,15
203,242,34
203,243,574
203,246,148
203,252,25
203,254,862
203,266,14
203,269,46
203,273,555
203,275,88
203,279,11
203,280,99
203,285,11
203,308,1181
203,325,225
204,273,273
212,169,35
212,196,26
215,60,13
215,89,95
215,176,418
215,195,15
215,200,11
215,226,11
215,257,193
215,263,39
215,279,36
217,88,1236
218,14,45
218,49,44
218,56,320
218,158,83
218,201,34
218,233,119
218,236,32
218,252,24
218,273,921
218,278,11
218,284,46
218,290,20
218,301,11
222,227,193
222,273,458
223,2,1382
223,5,45
223,15,12
223,17,19
223,20,1149
223,21,281
223,24,11
223,40,34
223,60,78
223,65,952
223,72,78
223,84,324
223,87,48
223,88,625
223,89,11
223,97,211
223,102,112
223,122,11
223,130,123
223,153,31
223,164,228
223,169,11
223,171,117
223,183,117
223,188,12
223,195,24
223,196,20
223,197,858
223,200,33
223,226,73
223,239,46
223,241,24
223,242,22
223,243,171
223,254,389
223,263,47
223,279,90
223,283,30
223,285,15
223,308,555
223,325,12
225,2,5366
225,5,184
225,15,140
225,17,141
225,20,7439
225,21,3124
225,24,22
225,26,107
225,30,11
225,35,171
225,40,2145
225,44,249
225,48,450
225,49,11
225,56,35
225,58,404
225,60,294
225,65,3362
225,71,41
225,72,5682
225,79,133
225,84,4365
225,86,64
225,87,671
225,88,298
225,89,560
225,93,80
225,97,723
225,102,1172
225,122,193
225,130,1224
225,143,22
225,151,93
225,153,525
225,154,401
225,164,5974
225,166,235
225,171,2140
225,178,16
225,183,1412
225,184,11
225,185,13
225,188,72
225,190,74
225,194,11
225,195,298
225,196,50
225,197,12399
225,200,402
225,203,217
225,215,12
225,223,8415
225,226,418
225,236,13
225,237,29306
225,239,236
225,241,210
225,242,377
225,243,2353
225,245,704
225,248,230
225,250,173
225,252,26
225,254,3972
225,257,45
225,263,718
225,266,183
225,273,203
225,275,47
225,279,868
225,280,77
225,281,159
225,282,37
225,283,689
225,285,372
225,287,80
225,297,15
225,300,29
225,308,4288
225,311,149
225,325,90
226,8,90
226,24,75
226,44,312
226,58,135
226,60,3890
226,63,127
226,86,279
226,137,12
226,151,97
226,153,149
226,165,20
226,169,111
226,173,3167
226,185,370
226,188,181
226,191,262
226,194,141
226,196,206
226,238,93
226,253,274
226,258,16
226,263,199
226,266,276
226,279,4080
226,280,51
226,285,112
226,293,30
226,307,209
226,331,55
227,14,84
227,56,178
227,137,15
227,155,13
227,195,11
227,233,94
227,236,237
227,263,13
227,273,345
227,285,13
227,301,12
228,30,89
228,60,22
228,156,44
228,184,147
228,188,26
228,190,171
228,200,350
228,275,12
228,325,107
229,59,145
229,343,23
230,28,17
230,113,17
230,256,243
233,14,202
233,153,29
233,173,15
233,226,21
236,14,176
236,56,729
236,60,13
236,137,18
236,153,30
236,226,26
236,233,269
236,273,761
236,285,13
237,2,349
237,5,62
237,20,596
237,21,106
237,28,79
237,40,173
237,44,14
237,48,14
237,58,11
237,65,143
237,72,6065
237,84,328
237,87,58
237,88,263
237,89,11
237,93,37
237,97,96
237,102,16
237,118,12
237,130,30
237,153,29
237,154,33
237,164,277
237,171,433
237,183,56
237,197,22760
237,200,36
237,223,217
237,226,14
237,239,14
237,243,108
237,253,12
237,254,246
237,263,87
237,273,12
237,279,12
237,283,26
237,308,174
238,60,544
238,86,17
238,173,14
238,272,232
238,279,153
238,307,45
239,58,12
239,60,12
239,89,15
239,153,27
239,226,22
239,266,13
239,273,12
239,279,13
239,285,15
241,2,84
241,20,107
241,21,257
