品类,日期,销量
2,2022/9/17,8006
2,2022/9/18,10156
2,2022/9/19,9860
2,2022/9/20,10278
2,2022/9/21,8830
2,2022/9/22,9936
2,2022/9/23,8146
2,2022/9/24,8148
2,2022/9/25,9316
2,2022/9/26,7532
2,2022/9/27,7518
2,2022/9/28,7176
2,2022/9/29,8118
2,2022/9/30,6228
2,2023/4/1,17802
2,2023/4/2,6288
2,2023/4/3,6788
2,2023/4/4,5444
2,2023/4/5,5820
2,2023/4/6,5688
2,2023/4/7,8940
2,2023/4/8,5850
2,2023/4/9,6046
2,2023/4/10,5622
2,2023/4/11,5574
2,2023/4/12,7778
2,2023/4/13,5652
2,2023/4/14,5452
2,2023/4/15,5482
2,2023/4/16,5988
2,2023/4/17,6192
2,2023/4/18,6604
2,2023/4/19,6900
2,2023/4/20,5910
2,2023/4/21,6234
2,2023/4/22,6078
2,2023/4/23,6948
2,2023/4/24,7010
2,2023/4/25,5820
2,2023/4/26,5694
2,2023/4/27,6036
2,2023/4/28,5222
2,2023/4/29,5378
2,2023/4/30,5094
2,2023/5/1,4750
2,2023/5/2,5000
2,2023/5/3,5674
2,2023/5/4,5896
2,2023/5/5,8310
2,2023/5/6,5444
2,2023/5/7,6400
2,2023/5/8,7150
2,2023/5/9,6812
2,2023/5/10,6444
2,2023/5/11,7646
2,2023/5/12,5664
2,2023/5/13,5792
2,2023/5/14,6752
2,2023/5/15,8008
2,2023/5/16,7142
2,2023/5/17,8910
2,2023/5/18,6036
2,2023/5/19,5646
2,2023/5/20,5494
2,2023/5/21,5772
2,2023/5/22,7080
2,2023/5/23,8102
2,2023/5/24,12636
2,2023/5/25,9188
2,2023/5/26,9442
2,2023/5/27,11068
2,2023/5/28,7706
2,2023/5/29,7308
2,2023/5/30,9098
2,2023/5/31,13658
2,2023/6/1,27874
2,2023/6/2,12614
2,2023/6/3,21398
2,2023/6/4,16138
2,2023/6/5,21882
2,2023/6/6,14086
2,2023/6/7,12706
2,2023/6/8,22858
2,2023/6/9,10274
2,2023/6/10,9686
2,2023/6/11,9284
2,2023/6/12,12192
2,2023/6/13,10514
2,2023/6/14,9340
2,2023/6/15,28990
2,2023/6/16,21794
2,2023/6/17,18708
2,2023/6/18,26952
2,2023/6/19,30460
2,2023/6/20,7336
2,2023/6/21,7164
2,2023/6/22,6380
2,2023/6/23,68496
2,2023/6/24,5144
2,2023/6/25,26824
2,2023/6/26,6842
2,2023/6/27,11456
2,2023/6/28,5494
2,2023/6/29,5564
2,2023/6/30,11334
3,2022/7/4,0
3,2022/7/6,0
3,2022/7/11,0
3,2022/7/12,0
3,2022/7/14,42
3,2022/7/15,42
3,2022/7/16,42
3,2022/7/17,38
3,2022/7/18,42
3,2022/7/19,48
3,2022/7/20,50
3,2022/7/21,38
3,2022/7/22,38
3,2022/7/23,34
3,2022/7/24,44
3,2022/7/25,38
3,2022/7/26,38
3,2022/7/27,38
3,2022/7/28,52
3,2022/7/29,40
3,2022/7/30,34
3,2022/7/31,48
3,2022/8/1,40
3,2022/8/2,36
3,2022/8/3,36
3,2022/8/4,42
3,2022/8/5,46
3,2022/8/6,42
3,2022/8/7,46
3,2022/8/8,50
3,2022/8/9,68
3,2022/8/10,98
3,2022/8/11,148
3,2022/8/12,82
3,2022/8/13,44
3,2022/8/14,38
3,2022/8/15,34
3,2022/8/16,46
3,2022/8/17,36
3,2022/8/18,38
3,2022/8/19,28
3,2022/8/20,32
3,2022/8/21,46
3,2022/8/22,36
3,2022/8/23,36
3,2022/8/24,34
3,2022/8/25,42
3,2022/8/26,28
3,2022/8/27,42
3,2022/8/28,50
3,2022/8/29,34
3,2022/8/30,40
3,2022/8/31,28
3,2022/9/1,24
3,2022/9/2,46
3,2022/9/3,50
3,2022/9/4,40
3,2022/9/5,34
3,2022/9/6,48
3,2022/9/7,36
3,2022/9/8,42
3,2022/9/9,44
3,2022/9/10,42
3,2022/9/11,40
3,2022/9/12,34
3,2022/9/13,44
3,2022/9/14,40
3,2022/9/15,38
3,2022/9/16,36
3,2022/9/17,44
3,2022/9/18,36
3,2022/9/19,24
3,2022/9/20,22
3,2022/9/21,26
3,2022/9/22,30
3,2022/9/23,38
3,2022/9/24,42
3,2022/9/25,42
3,2022/9/26,54
3,2022/9/27,44
3,2022/9/28,48
3,2022/9/29,38
3,2022/9/30,42
3,2023/4/1,158
3,2023/4/2,224
3,2023/4/3,316
3,2023/4/4,224
3,2023/4/5,108
3,2023/4/6,58
3,2023/4/7,58
3,2023/4/8,56
3,2023/4/9,50
3,2023/4/10,62
3,2023/4/11,56
3,2023/4/12,66
3,2023/4/13,50
3,2023/4/14,56
3,2023/4/15,64
3,2023/4/16,62
3,2023/4/17,60
3,2023/4/18,58
3,2023/4/19,80
3,2023/4/20,74
3,2023/4/21,72
3,2023/4/22,66
3,2023/4/23,56
3,2023/4/24,72
3,2023/4/25,66
3,2023/4/26,52
3,2023/4/27,74
3,2023/4/28,64
3,2023/4/29,56
3,2023/4/30,86
3,2023/5/1,68
3,2023/5/2,66
3,2023/5/3,74
3,2023/5/4,78
3,2023/5/5,86
3,2023/5/6,74
3,2023/5/7,66
3,2023/5/8,66
3,2023/5/9,64
3,2023/5/10,76
3,2023/5/11,64
3,2023/5/12,58
3,2023/5/13,72
3,2023/5/14,56
3,2023/5/15,90
3,2023/5/16,72
3,2023/5/17,66
3,2023/5/18,88
3,2023/5/19,74
3,2023/5/20,66
3,2023/5/21,58
3,2023/5/22,60
3,2023/5/23,66
3,2023/5/24,72
3,2023/5/25,76
3,2023/5/26,78
3,2023/5/27,78
3,2023/5/28,70
3,2023/5/29,70
3,2023/5/30,76
3,2023/5/31,96
3,2023/6/1,104
3,2023/6/2,104
3,2023/6/3,90
3,2023/6/4,80
3,2023/6/5,98
3,2023/6/6,74
3,2023/6/7,76
3,2023/6/8,84
3,2023/6/9,76
3,2023/6/10,80
3,2023/6/11,92
3,2023/6/12,82
3,2023/6/13,90
3,2023/6/14,82
3,2023/6/15,106
3,2023/6/16,122
3,2023/6/17,106
3,2023/6/18,158
3,2023/6/19,110
3,2023/6/20,82
3,2023/6/21,72
3,2023/6/22,64
3,2023/6/23,58
3,2023/6/24,76
3,2023/6/25,70
3,2023/6/26,62
3,2023/6/27,66
3,2023/6/28,70
3,2023/6/29,12
3,2023/6/30,58
4,2022/7/1,36
4,2022/7/2,16
4,2022/7/3,20
4,2022/7/4,28
4,2022/7/5,44
4,2022/7/6,50
4,2022/7/7,52
4,2022/7/8,34
4,2022/7/9,40
4,2022/7/10,28
4,2022/7/11,22
4,2022/7/12,26
4,2022/7/13,32
4,2022/7/14,34
4,2022/7/15,30
4,2022/7/16,36
4,2022/7/17,50
4,2022/7/18,56
4,2022/7/19,34
4,2022/7/20,44
4,2022/7/21,44
4,2022/7/22,34
4,2022/7/23,38
4,2022/7/24,22
4,2022/7/25,32
4,2022/7/26,24
4,2022/7/27,22
4,2022/7/28,38
4,2022/7/29,26
4,2022/7/30,24
4,2022/7/31,18
4,2022/8/1,16
4,2022/8/2,38
4,2022/8/3,20
4,2022/8/4,52
4,2022/8/5,22
4,2022/8/6,16
4,2022/8/7,22
4,2022/8/8,30
4,2022/8/9,18
4,2022/8/10,22
4,2022/8/11,22
4,2022/8/12,20
4,2022/8/13,28
4,2022/8/14,16
4,2022/8/15,26
4,2022/8/16,34
4,2022/8/17,26
4,2022/8/18,20
4,2022/8/19,104
4,2022/8/20,18
4,2022/8/21,38
4,2022/8/22,44
4,2022/8/23,44
4,2022/8/24,26
4,2022/8/25,30
4,2022/8/26,58
4,2022/8/27,24
4,2022/8/28,20
4,2022/8/29,22
4,2022/8/30,26
4,2022/8/31,34
4,2022/9/1,60
4,2022/9/2,36
4,2022/9/3,64
4,2022/9/4,50
4,2022/9/5,30
4,2022/9/6,36
4,2022/9/7,40
4,2022/9/8,40
4,2022/9/9,60
4,2022/9/10,34
4,2022/9/11,48
4,2022/9/12,26
4,2022/9/13,52
4,2022/9/14,40
4,2022/9/15,30
4,2022/9/16,26
4,2022/9/17,38
4,2022/9/18,24
4,2022/9/19,48
4,2022/9/20,68
4,2022/9/21,62
4,2022/9/22,34
4,2022/9/23,72
4,2022/9/24,34
4,2022/9/25,12
4,2022/9/26,36
4,2022/9/27,28
4,2022/9/28,60
4,2022/9/29,36
4,2022/9/30,22
4,2023/4/1,28
4,2023/4/2,28
4,2023/4/3,26
4,2023/4/4,26
4,2023/4/5,18
4,2023/4/6,50
4,2023/4/7,24
4,2023/4/8,24
4,2023/4/9,14
4,2023/4/10,24
4,2023/4/11,36
4,2023/4/12,28
4,2023/4/13,22
4,2023/4/14,38
4,2023/4/15,24
4,2023/4/16,20
4,2023/4/17,36
4,2023/4/18,38
4,2023/4/19,28
4,2023/4/20,34
4,2023/4/21,40
4,2023/4/22,36
4,2023/4/23,56
4,2023/4/24,86
4,2023/4/25,88
4,2023/4/26,20
4,2023/4/27,22
4,2023/4/28,24
4,2023/4/29,18
4,2023/4/30,10
4,2023/5/1,12
4,2023/5/2,40
4,2023/5/3,156
4,2023/5/4,22
4,2023/5/5,20
4,2023/5/6,26
4,2023/5/7,16
4,2023/5/8,20
4,2023/5/9,38
4,2023/5/10,26
4,2023/5/11,24
4,2023/5/12,24
4,2023/5/13,14
4,2023/5/14,16
4,2023/5/15,26
4,2023/5/16,20
4,2023/5/17,18
4,2023/5/18,18
4,2023/5/19,20
4,2023/5/20,14
4,2023/5/21,18
4,2023/5/22,20
4,2023/5/23,26
4,2023/5/24,34
4,2023/5/25,26
4,2023/5/26,18
4,2023/5/27,12
4,2023/5/28,22
4,2023/5/29,18
4,2023/5/30,40
4,2023/5/31,30
4,2023/6/1,32
4,2023/6/2,26
4,2023/6/3,50
4,2023/6/4,22
4,2023/6/5,28
4,2023/6/6,20
4,2023/6/7,32
4,2023/6/8,26
4,2023/6/9,28
4,2023/6/10,22
4,2023/6/11,16
4,2023/6/12,24
4,2023/6/13,24
4,2023/6/14,46
4,2023/6/15,36
4,2023/6/16,46
4,2023/6/17,42
4,2023/6/18,56
4,2023/6/19,34
4,2023/6/20,28
4,2023/6/21,26
4,2023/6/22,44
4,2023/6/23,16
4,2023/6/24,24
4,2023/6/25,32
4,2023/6/26,40
4,2023/6/27,130
4,2023/6/28,84
4,2023/6/29,86
4,2023/6/30,24
5,2022/7/4,0
5,2022/7/8,4
5,2022/7/14,0
5,2022/7/15,2
5,2022/7/16,2
5,2022/7/17,0
5,2022/7/18,2
5,2022/7/19,6
5,2022/7/20,14
5,2022/7/21,16
5,2022/7/22,14
5,2022/7/23,10
5,2022/7/24,6
5,2022/7/25,14
5,2022/7/26,8
5,2022/7/27,12
5,2022/7/28,16
5,2022/7/29,12
5,2022/7/30,8
5,2022/7/31,8
5,2022/8/1,22
5,2022/8/2,8
5,2022/8/3,4
5,2022/8/4,6
5,2022/8/5,10
5,2022/8/6,4
5,2022/8/7,2
5,2022/8/8,6
5,2022/8/9,18
5,2022/8/10,4
5,2022/8/11,2
5,2022/8/12,4
5,2022/8/13,2
5,2022/8/14,2
5,2022/8/15,2
5,2022/8/16,4
5,2022/8/17,2
5,2022/8/18,0
5,2022/8/19,0
5,2022/8/20,2
5,2022/8/23,0
5,2022/8/24,0
5,2022/8/25,0
5,2022/8/26,0
5,2022/8/27,0
5,2022/8/28,0
5,2022/8/29,0
5,2022/8/30,0
5,2022/8/31,0
5,2022/9/6,0
5,2022/9/8,0
5,2022/9/9,4
5,2022/9/10,0
5,2022/9/11,0
5,2022/9/13,0
5,2022/9/14,0
5,2022/9/15,0
5,2022/9/16,0
5,2022/9/17,0
5,2022/9/19,0
5,2022/9/20,0
5,2022/9/22,0
5,2022/9/24,0
5,2022/9/25,0
5,2022/9/26,0
5,2022/9/28,2
5,2023/4/1,396
5,2023/4/2,56
5,2023/4/3,38
5,2023/4/4,58
5,2023/4/5,46
5,2023/4/6,50
5,2023/4/7,64
5,2023/4/8,3978
5,2023/4/9,5948
5,2023/4/10,2004
5,2023/4/11,692
5,2023/4/12,608
5,2023/4/13,1564
5,2023/4/14,1046
5,2023/4/15,1076
5,2023/4/16,1060
5,2023/4/17,1576
5,2023/4/18,2614
5,2023/4/19,2438
5,2023/4/20,1536
5,2023/4/21,280
5,2023/4/22,146
5,2023/4/23,160
5,2023/4/24,262
5,2023/4/25,404
5,2023/4/26,576
5,2023/4/27,990
5,2023/4/28,610
5,2023/4/29,126
5,2023/4/30,48
5,2023/5/1,38
5,2023/5/2,2
5,2023/5/3,0
5,2023/5/4,0
5,2023/5/5,2
5,2023/5/6,0
5,2023/5/7,1534
5,2023/5/8,58
5,2023/5/9,2
5,2023/5/10,2
5,2023/5/11,0
5,2023/5/12,0
5,2023/5/13,0
5,2023/5/14,2040
5,2023/5/15,590
5,2023/5/16,148
5,2023/5/17,146
5,2023/5/18,168
5,2023/5/19,152
5,2023/5/20,148
5,2023/5/21,118
5,2023/5/22,104
5,2023/5/23,148
5,2023/5/24,270
5,2023/5/25,200
5,2023/5/26,206
5,2023/5/27,156
5,2023/5/28,134
5,2023/5/29,152
5,2023/5/30,202
5,2023/5/31,224
5,2023/6/1,1328
5,2023/6/2,392
5,2023/6/3,340
5,2023/6/4,298
5,2023/6/5,284
5,2023/6/6,640
5,2023/6/7,692
5,2023/6/8,590
5,2023/6/9,306
5,2023/6/10,188
5,2023/6/11,168
5,2023/6/12,216
5,2023/6/13,394
5,2023/6/14,474
5,2023/6/15,290
5,2023/6/16,398
5,2023/6/17,420
5,2023/6/18,1306
5,2023/6/19,688
5,2023/6/20,270
5,2023/6/21,164
5,2023/6/22,150
5,2023/6/23,160
5,2023/6/24,152
5,2023/6/25,132
5,2023/6/26,104
5,2023/6/27,108
5,2023/6/28,100
5,2023/6/29,96
5,2023/6/30,106
6,2022/7/1,2
6,2022/7/2,2
6,2022/7/3,2
6,2022/7/4,2
6,2022/7/5,2
6,2022/7/6,2
6,2022/7/7,2
6,2022/7/8,0
6,2022/7/9,2
6,2022/7/10,2
6,2022/7/11,4
6,2022/7/12,2
6,2022/7/13,4
6,2022/7/14,6
6,2022/7/15,4
6,2022/7/16,4
6,2022/7/17,2
6,2022/7/18,4
6,2022/7/19,4
6,2022/7/20,4
6,2022/7/21,2
6,2022/7/22,2
6,2022/7/23,2
6,2022/7/24,2
6,2022/7/25,4
6,2022/7/26,4
6,2022/7/27,2
6,2022/7/28,4
6,2022/7/29,4
6,2022/7/30,6
6,2022/7/31,4
6,2022/8/1,4
6,2022/8/2,6
6,2022/8/3,6
6,2022/8/4,4
6,2022/8/5,6
6,2022/8/6,4
6,2022/8/7,4
6,2022/8/8,4
6,2022/8/9,8
6,2022/8/10,2
6,2022/8/11,6
6,2022/8/12,4
6,2022/8/13,4
6,2022/8/14,4
6,2022/8/15,4
6,2022/8/16,4
6,2022/8/17,4
6,2022/8/18,4
6,2022/8/19,4
6,2022/8/20,4
6,2022/8/21,4
6,2022/8/22,4
6,2022/8/23,4
6,2022/8/24,4
6,2022/8/25,4
6,2022/8/26,4
6,2022/8/27,2
6,2022/8/28,2
6,2022/8/29,6
6,2022/8/30,6
6,2022/8/31,4
6,2022/9/1,4
6,2022/9/2,4
6,2022/9/3,2
6,2022/9/4,4
6,2022/9/5,4
6,2022/9/6,2
6,2022/9/7,4
6,2022/9/8,4
6,2022/9/9,2
6,2022/9/10,4
6,2022/9/11,2
6,2022/9/12,2
6,2022/9/13,4
6,2022/9/14,4
6,2022/9/15,4
6,2022/9/16,4
6,2022/9/17,4
6,2022/9/18,4
6,2022/9/19,4
6,2022/9/20,4
6,2022/9/21,4
6,2022/9/22,6
6,2022/9/23,4
6,2022/9/24,4
6,2022/9/25,2
6,2022/9/26,6
6,2022/9/27,4
6,2022/9/28,4
6,2022/9/29,4
6,2022/9/30,4
6,2023/4/1,6
6,2023/4/2,4
6,2023/4/3,6
6,2023/4/4,6
6,2023/4/5,4
6,2023/4/6,6
6,2023/4/7,6
6,2023/4/8,4
6,2023/4/9,4
6,2023/4/10,4
6,2023/4/11,6
6,2023/4/12,8
6,2023/4/13,8
6,2023/4/14,8
6,2023/4/15,6
6,2023/4/16,6
6,2023/4/17,10
6,2023/4/18,10
6,2023/4/19,6
6,2023/4/20,10
6,2023/4/21,10
6,2023/4/22,10
6,2023/4/23,8
6,2023/4/24,12
6,2023/4/25,12
6,2023/4/26,12
6,2023/4/27,10
6,2023/4/28,10
6,2023/4/29,8
6,2023/4/30,6
6,2023/5/1,6
6,2023/5/2,8
6,2023/5/3,8
6,2023/5/4,8
6,2023/5/5,10
6,2023/5/6,8
6,2023/5/7,6
6,2023/5/8,6
6,2023/5/9,6
6,2023/5/10,6
6,2023/5/11,6
6,2023/5/12,6
6,2023/5/13,6
6,2023/5/14,4
6,2023/5/15,8
6,2023/5/16,8
6,2023/5/17,6
6,2023/5/18,8
6,2023/5/19,8
6,2023/5/20,8
6,2023/5/21,4
6,2023/5/22,8
6,2023/5/23,10
6,2023/5/24,10
6,2023/5/25,8
6,2023/5/26,8
6,2023/5/27,6
6,2023/5/28,8
6,2023/5/29,6
6,2023/5/30,6
6,2023/5/31,6
6,2023/6/1,10
6,2023/6/2,6
6,2023/6/3,4
6,2023/6/4,6
6,2023/6/5,6
6,2023/6/6,10
6,2023/6/7,10
6,2023/6/8,6
6,2023/6/9,8
6,2023/6/10,6
6,2023/6/11,4
6,2023/6/12,6
6,2023/6/13,8
6,2023/6/14,14
6,2023/6/15,14
6,2023/6/16,14
6,2023/6/17,10
6,2023/6/18,12
6,2023/6/19,12
6,2023/6/20,8
6,2023/6/21,8
6,2023/6/22,10
6,2023/6/23,10
6,2023/6/24,10
6,2023/6/25,12
6,2023/6/26,12
6,2023/6/27,8
6,2023/6/28,10
6,2023/6/29,12
6,2023/6/30,6
7,2022/7/17,0
7,2022/7/22,0
7,2022/7/24,0
7,2022/7/25,0
7,2022/7/27,0
7,2022/7/28,0
7,2022/7/29,0
7,2022/7/30,0
7,2022/7/31,0
7,2022/8/1,0
7,2022/8/2,0
7,2022/8/3,2
7,2022/8/5,0
7,2022/8/6,0
7,2022/8/7,0
7,2022/8/13,0
7,2022/8/15,0
7,2022/8/19,0
7,2022/8/23,0
7,2022/8/24,0
7,2022/8/28,0
7,2022/9/5,0
7,2022/9/6,0
7,2022/9/20,0
7,2022/9/23,0
7,2022/9/24,0
7,2022/9/25,0
7,2022/9/28,0
7,2022/9/30,0
7,2023/4/15,0
7,2023/4/17,0
7,2023/5/12,0
7,2023/5/14,0
7,2023/5/18,2
7,2023/5/19,0
7,2023/5/20,0
7,2023/5/22,0
7,2023/6/22,0
7,2023/6/29,0
7,2023/6/30,0
8,2022/7/1,382
8,2022/7/2,440
8,2022/7/3,404
8,2022/7/4,428
8,2022/7/5,416
8,2022/7/6,422
8,2022/7/7,432
8,2022/7/8,428
8,2022/7/9,390
8,2022/7/10,436
8,2022/7/11,436
8,2022/7/12,442
8,2022/7/13,486
8,2022/7/14,564
8,2022/7/15,542
8,2022/7/16,524
8,2022/7/17,562
8,2022/7/18,532
8,2022/7/19,630
8,2022/7/20,678
8,2022/7/21,624
8,2022/7/22,564
8,2022/7/23,554
8,2022/7/24,498
8,2022/7/25,630
8,2022/7/26,514
8,2022/7/27,608
8,2022/7/28,566
8,2022/7/29,586
8,2022/7/30,522
8,2022/7/31,548
8,2022/8/1,562
8,2022/8/2,550
8,2022/8/3,474
8,2022/8/4,548
8,2022/8/5,524
8,2022/8/6,522
8,2022/8/7,462
8,2022/8/8,824
8,2022/8/9,504
8,2022/8/10,552
8,2022/8/11,540
8,2022/8/12,474
8,2022/8/13,442
8,2022/8/14,454
8,2022/8/15,562
8,2022/8/16,486
8,2022/8/17,768
8,2022/8/18,606
8,2022/8/19,478
8,2022/8/20,496
8,2022/8/21,470
8,2022/8/22,520
8,2022/8/23,542
8,2022/8/24,546
8,2022/8/25,502
8,2022/8/26,464
8,2022/8/27,478
8,2022/8/28,462
8,2022/8/29,470
8,2022/8/30,456
8,2022/8/31,524
8,2022/9/1,498
8,2022/9/2,490
8,2022/9/3,488
8,2022/9/4,452
8,2022/9/5,474
8,2022/9/6,576
8,2022/9/7,636
8,2022/9/8,548
8,2022/9/9,588
8,2022/9/10,482
8,2022/9/11,504
8,2022/9/12,478
8,2022/9/13,496
8,2022/9/14,514
8,2022/9/15,508
8,2022/9/16,510
8,2022/9/17,480
8,2022/9/18,446
8,2022/9/19,524
8,2022/9/20,558
8,2022/9/21,582
8,2022/9/22,556
8,2022/9/23,526
8,2022/9/24,520
8,2022/9/25,498
8,2022/9/26,624
8,2022/9/27,602
8,2022/9/28,550
8,2022/9/29,586
8,2022/9/30,586
8,2023/4/1,534
8,2023/4/2,508
8,2023/4/3,580
8,2023/4/4,506
8,2023/4/5,478
8,2023/4/6,556
8,2023/4/7,480
8,2023/4/8,522
8,2023/4/9,520
8,2023/4/10,530
8,2023/4/11,528
8,2023/4/12,522
8,2023/4/13,554
8,2023/4/14,536
8,2023/4/15,544
8,2023/4/16,524
8,2023/4/17,572
8,2023/4/18,544
8,2023/4/19,602
8,2023/4/20,592
8,2023/4/21,572
8,2023/4/22,564
8,2023/4/23,664
8,2023/4/24,670
8,2023/4/25,684
8,2023/4/26,760
8,2023/4/27,758
8,2023/4/28,584
8,2023/4/29,556
8,2023/4/30,498
8,2023/5/1,518
8,2023/5/2,500
8,2023/5/3,582
8,2023/5/4,626
8,2023/5/5,596
8,2023/5/6,588
8,2023/5/7,484
8,2023/5/8,558
8,2023/5/9,558
8,2023/5/10,570
8,2023/5/11,560
8,2023/5/12,536
8,2023/5/13,518
8,2023/5/14,524
8,2023/5/15,588
8,2023/5/16,598
8,2023/5/17,534
8,2023/5/18,556
8,2023/5/19,574
8,2023/5/20,516
8,2023/5/21,486
8,2023/5/22,564
8,2023/5/23,560
8,2023/5/24,616
8,2023/5/25,568
8,2023/5/26,552
8,2023/5/27,504
8,2023/5/28,470
